GENE,cluster1,cluster2,cluster3,cluster4
HOXD8,1.0,0.0,0.0,3.195926068876727e-296
HOXC10,1.0,0.0,0.0,5.818153767290521e-182
LMX1B,0.0,9.728636229908389e-26,0.9999999999999964,4.2218377670730685e-15
LBX1,0.0,8.24972244893896e-16,0.9999692562835507,3.074371644732799e-05
HOXA7,1.0,3.570447954380804e-306,0.0,5.861164929918586e-187
SOX2,0.0,5.956188707476248e-12,8.801597302192243e-15,0.999999999994035
KCNQ2,0.0,2.1435886548911746e-17,5.685106398984759e-13,0.9999999999994316
FOXC1,0.0,0.0006447700804322787,7.644020266379501e-154,0.9993552299195682
SIM2,0.0,8.005923340384137e-12,1.881987678870511e-17,0.9999999999919957
NR2F2,0.0,2.414261788195231e-05,3.526131094605535e-224,0.9999758573821197
MSX1,0.0,3.743948985554884e-12,2.4934802982745578e-34,0.9999999999962554
VAX1,0.0,6.971478241640282e-13,3.569254019798964e-15,0.9999999999993001
PDE2A,0.0,0.9999550113347851,6.0037087812587354e-36,4.4988665214428e-05
NTN1,0.0,0.40985042146560585,5.996612530452011e-134,0.5901495785343926
ASCL1,0.0,0.00010710888036122571,7.74613474947695e-100,0.9998928911196384
HOXB13,0.0,2.1198142939335227e-73,1.0,1.1151383898555644e-35
POM121L2,0.0,3.675090699285777e-30,1.0,1.5756720536592436e-15
TFAP2A,0.0,5.5243086825944044e-05,1.2424736356899345e-83,0.9999447569131742
FOXF2,0.0,2.0990092239478117e-07,1.1452813820367151e-90,0.9999997900990791
OLIG2,0.0,1.5945664750031542e-13,2.735787868264021e-29,0.9999999999998401
EN2,0.0,2.365168944425426e-65,1.0,1.1361185884012307e-17
SP8,0.0,8.966479921740991e-07,5.73629186740703e-23,0.9999991033520074
SIX2,0.0,0.0033265992031003616,3.240213067038539e-55,0.9966734007968989
BCL11B,0.0,0.44895635289220315,4.996826287707641e-62,0.5510436471077979
OLIG1,0.0,6.090777521063737e-08,1.3261084243159428e-86,0.9999999390922253
LHX4,0.0,0.012213578655535523,1.8489896049427886e-69,0.9877864213444649
NFIX,0.0,0.9999999836113106,0.0,1.63886892283053e-08
DMRTA2,0.0,3.5088045761079085e-06,4.027803813132451e-69,0.9999964911954241
IGF2BP1,0.0,3.4358139240624614e-06,1.9122487474303333e-38,0.9999965641860746
CDX2,0.0,7.959744917695254e-09,1.7839099477256262e-30,0.9999999920402551
TLX3,0.0,8.902599805390246e-07,3.6477697595689185e-64,0.9999991097400188
TBX3,0.0,9.170053974712036e-07,6.77850915642303e-113,0.9999990829946034
DLX2,0.0,3.481666960442651e-10,1.949350662254425e-92,0.9999999996518341
NKX6-1,0.0,2.709599507808991e-08,1.2960557491286771e-17,0.9999999729040038
C1QL2,0.0,2.2398698911736106e-09,2.696384355296757e-13,0.9999999977598613
PRDM8,0.0,0.03423550016653601,1.868676946924534e-186,0.9657644998334639
IRX2,0.0,0.05234958401394414,9.893047353917934e-102,0.947650415986055
POU4F2,0.0,1.0466029597346523e-06,1.5939348801898572e-83,0.9999989533970398
TBX2,0.0,0.7511617285019632,3.077396817737195e-176,0.24883827149803642
PHOX2B,0.0,4.850250600210783e-13,2.4267357428583994e-09,0.9999999975727789
PRDM6,0.0,0.00015857129527749607,1.4615349590565035e-59,0.9998414287047231
FOXD3,0.0,0.0011324399340488745,1.767519607910169e-65,0.9988675600659499
METAP1D,0.0,0.9844370569833444,8.0361878268771e-251,0.015562943016656448
IRX1,0.0,1.75657954427973e-05,4.535897953318035e-86,0.999982434204558
OLIG3,0.0,8.370685559209459e-11,0.0008800031933479903,0.9991199967229454
EPHA8,0.0,0.7826265780133442,4.7802303597736355e-92,0.21737342198665674
IRX5,0.0,0.7156247105690962,3.1523881506963894e-244,0.28437528943090207
SIX1,0.0,2.9814106728350563e-05,8.866966637133221e-120,0.999970185893273
OSR1,0.0,0.6612928220281278,3.7190243125694903e-121,0.33870717797187366
SLC9A3,0.0,0.004183019154250169,4.078070463521889e-67,0.9958169808457514
FEZF2,0.0,9.204214381536878e-08,4.386335899451222e-55,0.9999999079578579
EBF2,0.0,3.4376898240459643e-07,3.815761923981963e-23,0.9999996562310174
TBX18,0.0,8.293370221674677e-06,2.6647005996029375e-95,0.9999917066297782
MEIS2,0.0,0.9843055295479837,6.430023948359632e-95,0.015694470452016215
SLC12A5,0.0,0.0030477147915460266,2.4121297728748884e-50,0.9969522852084551
PRDM16,0.0,3.2471525487777406e-40,1.181754079336126e-157,1.0
LHX8,0.0,2.2938878002061144e-05,9.892182226962143e-44,0.9999770611219997
NR2F1,0.0,0.0005412515657471895,3.457614120181089e-178,0.9994587484342529
OSR2,0.0,0.00031725485177406496,2.8475498258502643e-85,0.9996827451482244
GATA4,0.0,4.3361552381501005e-62,1.0,1.1900341021551874e-17
PRSS16,0.0,2.278620507157085e-26,0.9999999999990763,9.246305610892315e-13
