	cluster1	cluster2	cluster3	cluster4
Amacrine_cell_differentiation	1	1	1	0.0031
Anatomical_structure_development	1	5.62e-10	1	1.25e-41
Anatomical_structure_formation_involved_in_morphogenesis	1	0.00014	1	2.53e-12
Anatomical_structure_morphogenesis	2.6e-07	4.99e-06	1	6.72e-34
Animal_organ_development	0.00022	1.35e-07	1	2.23e-38
Animal_organ_formation	1	1	1	0.0091
Animal_organ_morphogenesis	9.73e-08	0.00026	1	5.92e-33
Anterior/posterior_axis_specification	1	1	1	0.004
Anterior/posterior_axon_guidance	1	1	1	0.0018
Anterior/posterior_pattern_specification	1.08e-20	1	1	9.68e-15
Apoptotic_process	1	1	1	0.0015
Artery_development	1	1	1	4.61e-06
Artery_morphogenesis	1	1	1	0.00067
Astrocyte_differentiation	1	1	1	0.00046
Autonomic_nervous_system_development	1	1	1	9.71e-06
Axis_specification	1	1	1	5.38e-06
Axon_development	1	1	1	1.71e-15
Axon_guidance	1	1	1	3.38e-14
Axonogenesis	1	1	1	1.7e-15
Biological_regulation	1	1	1	3.68e-16
Blood_vessel_development	1	1	1	1.97e-05
Blood_vessel_morphogenesis	1	1	1	0.0033
Bone_morphogenesis	1	1	1	7.6e-05
Brain_development	1	0.0012	1	1.17e-24
Branching_involved_in_prostate_gland_morphogenesis	1	1	1	0.0048
Branching_involved_in_ureteric_bud_morphogenesis	1	1	1	0.00011
Branching_morphogenesis_of_an_epithelial_tube	1	1	1	7.56e-07
Camera-type_eye_development	1	1	1	2.38e-11
Camera-type_eye_morphogenesis	1	1	1	0.00038
Canonical_Wnt_signaling_pathway	1	1	1	0.0048
Cardiac_cell_fate_commitment	1	1	1	0.00037
Cardiac_chamber_development	1	1	1	0.00032
Cardiac_chamber_morphogenesis	1	1	1	0.0003
Cardiac_conduction_system_development	1	1	1	0.00068
Cardiac_muscle_cell_fate_commitment	1	1	1	0.0024
Cardiac_muscle_tissue_development	1	1	1	7.98e-05
Cardiac_muscle_tissue_morphogenesis	1	1	1	0.004
Cardiac_septum_development	1	1	1	0.0065
Cardiac_septum_morphogenesis	1	1	1	0.0077
Cardiac_ventricle_development	1	1	1	0.00034
Cardiac_ventricle_morphogenesis	1	1	1	0.0077
Cardiocyte_differentiation	1	1	1	0.0083
Cartilage_development	1	1	1	0.00031
Cell-cell_signaling	1	1	1	8.97e-06
Cell_communication	1	1	1	0.0058
Cell_development	1	5.11e-06	1	3.85e-22
Cell_differentiation	1	5.21e-07	1	2.39e-41
Cell_differentiation_in_spinal_cord	1	1	1	1.14e-13
Cell_differentiation_involved_in_kidney_development	1	1	1	0.0016
Cell_differentiation_involved_in_metanephros_development	1	1	1	0.0008
Cell_fate_commitment	1	1	1	1.57e-39
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	1	1	1	0.00023
Cell_fate_determination	1	1	1	8.95e-13
Cell_fate_specification	1	1	1	1.44e-26
Cell_migration	1	1	1	1.61e-10
Cell_morphogenesis	1	1	1	2.35e-12
Cell_morphogenesis_involved_in_neuron_differentiation	1	1	1	1.21e-14
Cell_population_proliferation	1	1	1	2.93e-18
Cell_proliferation_in_forebrain	1	1	1	0.0018
Cell_surface_receptor_signaling_pathway	1	1	1	0.00072
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	1	1	1	0.0023
Cellular_process	1	1	1	0.00089
Cellular_response_to_chemical_stimulus	1	0.0015	1	1
Cellular_response_to_endogenous_stimulus	1	0.00079	1	1
Cellular_response_to_growth_factor_stimulus	1	0.0058	1	1
Cellular_response_to_lipid	1	0.0084	1	1
Cellular_response_to_organic_substance	1	0.00068	1	1
Central_nervous_system_development	1	0.0028	1	2.36e-38
Central_nervous_system_neuron_development	1	1	1	0.0024
Central_nervous_system_neuron_differentiation	1	1	1	2.36e-21
Cerebellum_development	1	1	1	9.85e-05
Cerebral_cortex_GABAergic_interneuron_differentiation	1	1	1	0.0048
Cerebral_cortex_development	1	1	1	3.24e-05
Cerebral_cortex_neuron_differentiation	1	1	1	0.00018
Cerebral_cortex_radially_oriented_cell_migration	1	1	1	0.0071
Cerebral_cortex_regionalization	1	1	1	0.0018
Chemical_synaptic_transmission	1	1	1	0.0095
Chemotaxis	1	1	1	7.04e-09
Chordate_embryonic_development	1	1	1	1.81e-18
Circulatory_system_development	1	0.00026	1	7.44e-08
Columnar/cuboidal_epithelial_cell_development	1	1	1	0.001
Columnar/cuboidal_epithelial_cell_differentiation	1	1	1	4.56e-10
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	1	1	1	3.28e-05
Connective_tissue_development	1	1	1	1.9e-07
Cranial_nerve_development	1	1	1	2.62e-05
Dentate_gyrus_development	1	1	1	0.00056
Developmental_growth	1	0.0074	1	0.00073
Developmental_growth_involved_in_morphogenesis	1	1	1	0.0029
Developmental_induction	1	1	1	0.0029
Developmental_process	1	3.41e-09	1	3.82e-38
Developmental_process_involved_in_reproduction	1	1	1	0.0032
Diencephalon_development	1	1	1	1.33e-05
Digestive_system_development	1	1	1	1.2e-08
Digestive_tract_development	1	1	1	6.15e-07
Dopaminergic_neuron_differentiation	1	1	1	1.31e-06
Dorsal/ventral_neural_tube_patterning	1	1	1	2.2e-05
Dorsal/ventral_pattern_formation	1	1	1	6.8e-18
Ear_development	1	1	1	1.84e-16
Ear_morphogenesis	1	1	1	8.02e-14
Embryo_development	1.03e-10	0.00046	1	6.75e-28
Embryonic_camera-type_eye_morphogenesis	1	1	1	0.0026
Embryonic_cranial_skeleton_morphogenesis	1	1	1	1.02e-09
Embryonic_digestive_tract_development	1	1	1	0.0054
Embryonic_digit_morphogenesis	1	1	1	1.05e-07
Embryonic_eye_morphogenesis	1	1	1	0.00049
Embryonic_forelimb_morphogenesis	1	1	1	1.51e-09
Embryonic_heart_tube_development	1	1	1	0.002
Embryonic_hindlimb_morphogenesis	1	1	1	1.63e-08
Embryonic_limb_morphogenesis	0.00056	0.0026	1	1.97e-09
Embryonic_morphogenesis	4.39e-08	0.0028	1	5.59e-25
Embryonic_organ_development	1	0.0012	1	1.99e-23
Embryonic_organ_morphogenesis	1	1	1	7.54e-22
Embryonic_pattern_specification	1	1	1	0.0013
Embryonic_skeletal_joint_morphogenesis	1	1	1	0.0048
Embryonic_skeletal_system_development	2.02e-13	1	1	3.95e-16
Embryonic_skeletal_system_morphogenesis	5.26e-10	1	1	2.3e-14
Endocardial_cushion_development	1	1	1	0.00013
Endocardial_cushion_morphogenesis	1	1	1	0.00062
Endocrine_pancreas_development	1	1	1	1.94e-07
Endocrine_system_development	1	1	1	1.01e-13
Enteric_nervous_system_development	1	1	1	0.0095
Enteroendocrine_cell_differentiation	1	1	1	1.44e-05
Enzyme-linked_receptor_protein_signaling_pathway	1	0.0018	1	1
Epithelial-mesenchymal_cell_signaling	1	1	1	0.0013
Epithelial_cell_development	1	1	1	1.82e-05
Epithelial_cell_differentiation	1	0.0013	1	3.83e-12
Epithelial_cell_differentiation_involved_in_kidney_development	1	1	1	0.0071
Epithelial_cell_fate_commitment	1	1	1	0.0095
Epithelial_tube_morphogenesis	1	1	1	3.67e-08
Epithelium_development	1	1.98e-05	1	1.44e-26
Exocrine_system_development	1	1	1	6.74e-05
Eye_development	1	1	1	4.19e-13
Eye_morphogenesis	1	1	1	0.00022
Eyelid_development_in_camera-type_eye	1	1	1	0.0069
Forebrain_development	1	1	1	3.34e-23
Forebrain_generation_of_neurons	1	1	1	5.3e-08
Forebrain_neuron_differentiation	1	1	1	3.84e-06
Forebrain_regionalization	1	1	1	1.81e-07
Formation_of_primary_germ_layer	1	1	1	0.00023
GABAergic_neuron_differentiation	1	1	1	0.00056
Ganglion_development	1	1	1	0.00068
Gastrulation	1	1	1	0.00031
Generation_of_neurons	1	1	1	2.37e-38
Gland_development	1	1	1	1.26e-09
Gland_morphogenesis	1	1	1	0.0008
Glandular_epithelial_cell_development	1	1	1	0.0036
Glandular_epithelial_cell_differentiation	1	1	1	2.81e-07
Glial_cell_differentiation	1	1	1	2.92e-09
Glial_cell_fate_commitment	1	1	1	1.92e-07
Gliogenesis	1	1	1	1.43e-10
Head_development	1	0.00077	1	1.35e-26
Heart_development	1	0.00048	1	5.5e-07
Heart_morphogenesis	1	1	1	6.4e-07
Hindbrain_development	1	1	1	2.89e-07
Hippocampus_development	1	1	1	2.35e-05
In_utero_embryonic_development	1	1	1	0.0071
Inner_ear_development	1	1	1	6.39e-11
Inner_ear_morphogenesis	1	1	1	9.62e-08
Interneuron_migration	1	1	1	0.0095
Intracellular_receptor_signaling_pathway	1	1	1	0.0054
Kidney_development	1	1	1	1.53e-08
Kidney_epithelium_development	1	1	1	6.45e-10
Kidney_mesenchyme_development	1	1	1	3.5e-05
Limb_development	5.78e-05	1	1	1
Limb_morphogenesis	1	1	1	1.26e-09
Limbic_system_development	1	1	1	1.83e-05
