GENE,cluster1,cluster2,cluster3
SCRG1,1.0,0.0,0.0
RBFOX3,1.0,0.0,0.0
GSX1,1.0,0.0,0.0
ZIC5,1.0,0.0,0.0
CRTAC1,1.0,0.0,0.0
FOXD2,1.0,0.0,0.0
CDH22,1.0,0.0,0.0
SLC6A17,1.0,0.0,0.0
RSPO1,1.0,0.0,0.0
HAND2,1.0,0.0,0.0
DLX3,1.0,0.0,0.0
CELF4,1.0,0.0,0.0
CRMP1,1.0,0.0,0.0
RNF220,1.0,0.0,0.0
ARX,1.0,0.0,0.0
NKX2-2,1.0,0.0,0.0
PTPRN2,1.0,0.0,0.0
GALNT9,1.0,0.0,0.0
TMEM132E,1.0,0.0,0.0
UNC5A,1.0,0.0,0.0
SRCIN1,1.0,0.0,0.0
SSTR5,1.0,0.0,0.0
CACNG2,1.0,0.0,0.0
DMRT3,1.0,0.0,0.0
LMX1B,1.0,0.0,0.0
XKR6,1.0,0.0,0.0
ASIC4,1.0,0.0,0.0
PPP2R2C,1.0,0.0,0.0
FEZF2,1.0,0.0,0.0
VAX2,1.0,0.0,0.0
HPCAL4,1.0,0.0,0.0
HOXC10,5.703575324557161e-213,0.0,1.0
HOXB5,8.002619787359187e-181,1.0,0.0
RFX4,1.0,0.0,0.0
GNAS,1.0,0.0,0.0
TFAP2A,1.0,0.0,0.0
SNCB,1.0,0.0,0.0
CPLX1,1.0,0.0,0.0
DMTN,1.0,0.0,0.0
ELFN2,1.0,0.0,0.0
FOXL1,1.0,0.0,0.0
PAX7,1.0,0.0,0.0
MAFB,1.0,0.0,0.0
OLFM1,1.0,0.0,0.0
LMX1A,1.0,0.0,0.0
NRN1,1.0,0.0,0.0
HMX1,1.0,0.0,0.0
SYT5,1.0,0.0,0.0
BMP7,1.0,0.0,0.0
EBF3,1.0,0.0,0.0
FOXB1,1.0,0.0,0.0
DDN,1.0,0.0,0.0
PHACTR3,1.0,0.0,0.0
FBXL16,1.0,0.0,0.0
EPHA10,1.0,0.0,0.0
ZDHHC22,1.0,0.0,0.0
GATA4,1.0,0.0,0.0
PDYN,1.0,0.0,0.0
KCNJ10,1.0,0.0,0.0
CALY,1.0,0.0,0.0
ANK1,1.0,0.0,0.0
LINGO1,1.0,0.0,0.0
NAT8L,1.0,0.0,0.0
KCNH2,1.0,0.0,0.0
MEGF11,1.0,0.0,0.0
EOMES,1.0,0.0,0.0
KCNT1,1.0,0.0,0.0
NRXN2,1.0,0.0,0.0
ONECUT1,1.0,0.0,0.0
EXOC6,1.0,0.0,0.0
NSG1,1.0,0.0,0.0
TCHH,1.0,0.0,0.0
HOXC9,1.1188450274477386e-225,0.0,1.0
ATP6V1B1,1.0,0.0,0.0
ONECUT2,1.0,0.0,0.0
GJA3,1.0,0.0,0.0
GRM4,1.0,0.0,0.0
TBX5,1.0,0.0,0.0
MPPED1,1.0,0.0,0.0
IHH,1.0,0.0,0.0
IRX4,1.0,0.0,0.0
SIX6,1.0,0.0,0.0
PDX1,1.0,0.0,0.0
TCTE1,1.0,0.0,0.0
RGS20,1.0,0.0,0.0
ISLR2,1.0,0.0,0.0
SLC6A12,1.0,0.0,0.0
SLC12A5,1.0,0.0,0.0
DBH,1.0,0.0,0.0
NEUROG1,1.0,0.0,0.0
NEFL,1.0,0.0,0.0
POU3F3,1.0,0.0,0.0
PDE1B,1.0,0.0,0.0
GFI1B,1.0,0.0,0.0
NRG2,1.0,0.0,0.0
ADORA1,1.0,0.0,0.0
NEUROG3,1.0,0.0,0.0
CHD5,1.0,0.0,0.0
SCRT2,1.0,0.0,0.0
CBLN1,1.0,0.0,0.0
LMO2,1.0,0.0,0.0
ITPKA,1.0,0.0,0.0
GRP,1.0,0.0,0.0
KIF1A,1.0,0.0,0.0
GRIN1,1.0,0.0,0.0
LHX3,1.0,0.0,0.0
ISL1,1.0,0.0,0.0
TBX1,1.0,0.0,0.0
RXRG,1.0,0.0,0.0
SFRP1,1.0,0.0,0.0
CYP24A1,1.0,0.0,0.0
CBX8,1.0,0.0,0.0
KIRREL3,1.0,0.0,0.0
SLC17A7,1.0,0.0,0.0
KCNK3,1.0,0.0,0.0
GRIK3,1.0,0.0,0.0
ADAMTSL2,1.0,0.0,0.0
FADS6,1.0,0.0,0.0
EPS8L1,1.0,0.0,0.0
SORCS2,1.0,0.0,0.0
ADCYAP1,1.0,0.0,0.0
TCF21,1.0,0.0,0.0
HMX3,1.0,0.0,0.0
OTOP3,1.0,0.0,0.0
NEUROG2,1.0,0.0,0.0
SLC9A3,1.0,0.0,0.0
ARHGAP36,1.0,0.0,0.0
CCDC177,1.0,0.0,0.0
MYOD1,1.0,0.0,0.0
IRX6,1.0,0.0,0.0
CYP26A1,1.0,0.0,0.0
TBX20,1.0,0.0,0.0
RAB37,1.0,0.0,0.0
WNT3A,1.0,0.0,0.0
TMEM179,1.0,0.0,0.0
SKAP1,1.0,0.0,0.0
JPH3,1.0,0.0,0.0
FIBCD1,1.0,0.0,0.0
PHF24,1.0,0.0,0.0
