	cluster1	cluster2	cluster3
Adenohypophysis_development	0.00095	1	1
Adult_behavior	0.005	1	1
Anatomical_structure_development	1.04e-22	1	1
Anatomical_structure_formation_involved_in_morphogenesis	3.65e-07	1	1
Anatomical_structure_morphogenesis	9.7e-18	1	1
Animal_organ_development	7.2e-17	1	1
Animal_organ_morphogenesis	2.66e-10	1	1
Anterior/posterior_pattern_specification	2.99e-05	0.00012	1
Atrial_septum_morphogenesis	0.00061	1	1
Atrioventricular_valve_development	0.0049	1	1
Axis_specification	0.0067	1	1
Axon_development	5.05e-07	1	1
Axon_guidance	1.57e-05	1	1
Axonogenesis	1.45e-06	1	1
Behavior	1.11e-07	1	1
Biological_regulation	8.14e-10	1	1
Blood_vessel_development	0.0016	1	1
Blood_vessel_morphogenesis	0.0097	1	1
Brain_development	1.06e-12	1	1
Camera-type_eye_development	0.00096	1	1
Cardiac_cell_fate_commitment	0.00049	1	1
Cardiac_chamber_morphogenesis	0.00035	1	1
Cardiac_right_ventricle_morphogenesis	0.0014	1	1
Cardiac_septum_morphogenesis	0.00019	1	1
Cardiac_ventricle_morphogenesis	0.0064	1	1
Cardiocyte_differentiation	0.0038	1	1
Cation_transmembrane_transport	4.36e-07	1	1
Cell-cell_signaling	2.31e-12	1	1
Cell_communication	2.97e-08	1	1
Cell_development	6.25e-12	1	1
Cell_differentiation	8.18e-17	1	1
Cell_differentiation_in_spinal_cord	1.89e-05	1	1
Cell_fate_commitment	8.4e-16	1	1
Cell_fate_specification	3.6e-08	1	1
Cell_junction_organization	1.57e-05	1	1
Cell_migration	0.0087	1	1
Cell_morphogenesis	3.96e-07	1	1
Cell_morphogenesis_involved_in_differentiation	1.12e-05	1	1
Cell_morphogenesis_involved_in_neuron_differentiation	8.3e-06	1	1
Cell_motility	0.0051	1	1
Cell_population_proliferation	0.00063	1	1
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	0.0023	1	1
Cellular_component_morphogenesis	1.32e-07	1	1
Cellular_process	2.05e-08	1	1
Cellular_response_to_endogenous_stimulus	0.0011	1	1
Central_nervous_system_development	1.21e-18	1	1
Central_nervous_system_neuron_differentiation	4.69e-07	1	1
Cerebral_cortex_GABAergic_interneuron_differentiation	0.0031	1	1
Cerebral_cortex_neuron_differentiation	0.00054	1	1
Chemical_synaptic_transmission	5.54e-10	1	1
Chemical_synaptic_transmission,_postsynaptic	0.0041	1	1
Chemotaxis	0.0008	1	1
Chordate_embryonic_development	0.0011	1	1
Circulatory_system_development	0.00015	1	1
Cognition	0.00049	1	1
Developmental_growth	0.0083	1	1
Developmental_process	1.4e-19	1	1
Diencephalon_development	0.00035	1	1
Dopamine_receptor_signaling_pathway	0.0082	1	1
Dopaminergic_neuron_differentiation	0.0015	1	1
Dorsal/ventral_pattern_formation	1.8e-06	1	1
Ear_development	1.36e-05	1	1
Embryo_development	2.01e-06	1	1
Embryonic_limb_morphogenesis	0.0013	1	1
Embryonic_morphogenesis	8.47e-08	1	1
Embryonic_organ_development	1.11e-06	1	1
Embryonic_organ_morphogenesis	5.79e-06	1	1
Embryonic_skeletal_system_development	0.0023	1	1
Embryonic_skeletal_system_morphogenesis	1	4.77e-08	1
Endocardial_cushion_development	0.00011	1	1
Endocardial_cushion_formation	0.0028	1	1
Endocardial_cushion_morphogenesis	0.0021	1	1
Endocrine_pancreas_development	0.0033	1	1
Endocrine_system_development	3.14e-06	1	1
Epithelial_cell_differentiation	6.78e-05	1	1
Epithelial_to_mesenchymal_transition	0.0023	1	1
Epithelium_development	2.03e-08	1	1
Establishment_of_localization	0.0022	1	1
Export_from_cell	5.95e-05	1	1
Eye_development	0.0014	1	1
Forebrain_development	9.6e-10	1	1
Generation_of_neurons	1.01e-18	1	1
Gland_development	1.04e-06	1	1
Head_development	1.08e-13	1	1
Heart_development	0.0017	1	1
Heart_looping	0.0037	1	1
Heart_morphogenesis	0.0005	1	1
Heart_valve_formation	0.0049	1	1
Hippocampus_development	0.0001	1	1
Inner_ear_development	1.35e-05	1	1
Inner_ear_morphogenesis	0.00011	1	1
Inorganic_cation_transmembrane_transport	5.78e-08	1	1
Inorganic_ion_transmembrane_transport	1.11e-07	1	1
Ion_transmembrane_transport	2.46e-06	1	1
Kidney_development	0.00087	1	1
Kidney_epithelium_development	0.0007	1	1
Learning	0.0055	1	1
Learning_or_memory	0.0012	1	1
Limb_development	0.00038	1	1
Limb_morphogenesis	0.00025	1	1
Limbic_system_development	1.55e-08	1	1
Localization	0.0096	1	1
Locomotion	0.00018	1	1
Locomotory_behavior	0.00023	1	1
Membrane_repolarization_during_ventricular_cardiac_muscle_cell_action_potential	0.0049	1	1
Mesenchymal_cell_differentiation	0.00023	1	1
Mesenchyme_development	2.08e-05	1	1
Mesenchyme_morphogenesis	0.00026	1	1
Mesoderm_development	0.0019	1	1
Metal_ion_transport	6.31e-07	1	1
Metanephros_development	0.0034	1	1
Modulation_of_chemical_synaptic_transmission	3.68e-08	1	1
Morphogenesis_of_a_branching_epithelium	0.0097	1	1
Morphogenesis_of_a_branching_structure	0.0038	1	1
Morphogenesis_of_an_epithelium	0.00016	1	1
Multicellular_organism_development	1.56e-27	1	1
Multicellular_organismal_process	8.77e-21	1	1
Multicellular_organismal_signaling	0.00035	1	1
Muscle_cell_fate_commitment	0.00095	1	1
Muscle_organ_development	9.87e-05	1	1
Muscle_structure_development	0.00051	1	1
Muscle_system_process	0.00056	1	1
Muscle_tissue_development	5.96e-05	1	1
Negative_regulation_of_RNA_metabolic_process	0.0037	1	1
Negative_regulation_of_apoptotic_process	4.96e-05	1	1
Negative_regulation_of_biological_process	0.0025	1	1
Negative_regulation_of_cell_death	1.72e-05	1	1
Negative_regulation_of_cell_differentiation	0.00036	1	1
Negative_regulation_of_cellular_process	0.00051	1	1
Negative_regulation_of_developmental_process	0.00012	1	1
Negative_regulation_of_neuron_differentiation	4.37e-05	1	1
Negative_regulation_of_nucleobase-containing_compound_metabolic_process	0.0094	1	1
Negative_regulation_of_programmed_cell_death	2.99e-05	1	1
Negative_regulation_of_transcription,_DNA-templated	0.0032	1	1
Negative_regulation_of_transcription_by_RNA_polymerase_II	0.0028	1	1
Nephron_development	0.00062	1	1
Nervous_system_development	5.22e-30	1	1
Nervous_system_process	1.94e-07	1	1
Neurogenesis	7.51e-18	1	1
Neuromuscular_process	0.0011	1	1
Neuron_development	1.96e-10	1	1
Neuron_differentiation	2.27e-19	1	1
Neuron_fate_commitment	2.95e-07	1	1
Neuron_fate_specification	0.0001	1	1
Neuron_projection_development	1.31e-08	1	1
Neuron_projection_morphogenesis	1.55e-08	1	1
Neurotransmitter_reuptake	0.0028	1	1
Neurotransmitter_transport	5.95e-06	1	1
Odontogenesis	0.00039	1	1
Odontogenesis_of_dentin-containing_tooth	0.00056	1	1
Outflow_tract_morphogenesis	0.0085	1	1
Pallium_development	8.41e-05	1	1
Pancreas_development	0.0016	1	1
Pattern_specification_process	1.07e-13	1	1
Peripheral_nervous_system_development	0.0006	1	1
Pituitary_gland_development	0.00056	1	1
Plasma_membrane_bounded_cell_projection_organization	5.78e-08	1	1
Positive_regulation_of_RNA_metabolic_process	3.5e-10	1	1
Positive_regulation_of_biological_process	9e-05	1	1
Positive_regulation_of_biosynthetic_process	8.65e-08	1	1
Positive_regulation_of_cell_differentiation	9.1e-05	1	1
Positive_regulation_of_cellular_metabolic_process	1.04e-06	1	1
Positive_regulation_of_cellular_process	3.1e-05	1	1
Positive_regulation_of_developmental_growth	0.0025	1	1
