"","GSM844492","GSM844495","GSM844497","GSM844499","GSM844501","GSM844503","GSM844505","GSM844507","GSM844521","GSM844522","GSM844523","GSM844524"
"COPG1",2.0057048e-08,1.5958052e-08,-2.762056e-08,-7.44271e-09,1.4261324e-08,1.5132524e-08,2.071256e-08,1.1885632e-08,1.1718916e-09,-5.11247e-09,8.62433e-09,1.9663776e-08
"ATP6V0D1",-9.17157639e-07,-1.07754402e-06,-7.22659722e-07,-5.19374748e-07,-9.36609516e-07,-1.43737743e-06,-7.96766319e-07,-1.11946848e-06,-7.87964367e-07,-9.82471221e-07,-6.20322135e-07,-8.98133745e-07
"GOLGA7",7.7658264e-09,1.94043039e-08,1.6029258e-08,-2.857272e-09,6.3856806e-09,-2.6002218e-08,-2.5956477e-08,-3.5149944e-08,-1.34505558e-08,-2.6818209e-08,-6.730563e-09,-1.75772946e-08
"PSPH",7.7737512e-09,-1.0647486e-08,-5.6497032e-08,-4.238748e-08,1.8823794e-08,9.0393108e-09,1.06672536e-08,-1.00169748e-08,5.6100312e-09,-3.6866004e-08,1.47205464e-08,5.8938912e-09
"TRAPPC4",-3.7234152e-08,-1.18341488e-07,-1.28898064e-07,-1.08888848e-07,-8.9524096e-09,-1.85722192e-08,-3.4829256e-08,-6.35487376e-08,-9.2050064e-09,-1.38212336e-07,2.20968432e-08,1.48960672e-08
"DPM2",0,0,0,0,0,0,0,0,0,0,0,0
"PSMB5",-1.01185317e-08,-3.4699491e-08,-2.7372141e-08,-1.8118476e-08,1.13205078e-08,8.6942385e-09,7.4144745e-09,2.7045702e-09,5.1080949e-09,-5.020389e-08,9.6613119e-09,8.2419435e-09
"DHRS1",4.4656647e-08,-3.2439547e-08,-3.4012363e-08,-3.9014647e-08,1.77179632e-08,-3.8920903e-09,1.92378963e-08,1.48849414e-08,-4.0757157e-08,-2.07536196e-08,2.1861014e-08,2.837058e-08
"PPM1A",1.5404371e-07,8.7287247e-08,9.0594989e-07,7.200524e-07,-3.249032e-07,-1.4233673e-06,-7.485422e-07,-1.8011095e-06,-6.867319e-07,-6.5306532e-07,-1.093757e-06,-5.2531751e-07
"PSENEN",0,0,0,0,0,0,0,0,0,0,0,0
"ANAPC1",4.1160041e-08,2.86327782e-08,5.300373e-09,2.13654337e-08,-1.05563146e-08,-7.7705017e-09,7.0132244e-09,-4.1392663e-08,1.0122346e-08,4.3016831e-08,-1.87228119e-08,-1.1038781e-08
"MRPL43",3.56193209e-09,-7.83667217e-09,-9.6836559e-09,-2.88204103e-09,-2.28423396e-10,-2.58811711e-09,-7.2094531e-09,-6.48429207e-09,-1.23964227e-10,-1.0695347e-08,5.48012554e-09,-2.14298283e-09
"XPO7",2.52768e-08,-1.324174e-08,6.30062e-09,1.23806e-08,-2.95406e-09,1.09908e-08,1.746234e-08,2.36048e-08,-1.685974e-09,-9.3052e-09,2.19752e-08,3.11182e-08
"NMT1",0,0,0,0,0,0,0,0,0,0,0,0
