GENE,cluster1,cluster2,cluster3,cluster4
LMX1B,7.94058235909563e-38,0.0,1.0,3.726580685132324e-21
ZIC4,3.408733005975133e-21,0.0,0.9999999999999911,9.674142349270946e-15
NKX2-2,1.7560206708764264e-08,0.0,0.0,0.9999999824397926
MNX1,2.8338302579234114e-07,0.0,0.0,0.9999997166169738
HOXD8,0.0,1.0,0.0,2.2324718100898017e-239
TBX3,6.998292545831224e-06,0.0,0.0,0.9999930017074548
UNCX,1.4114808078263413e-07,0.0,0.0,0.9999998588519177
SCRG1,1.1743150561938509e-24,0.0,0.9999999999979963,2.003183455865142e-12
EPHA8,0.8612788822882201,0.0,0.0,0.13872111771177822
MSX1,3.3022425762064556e-06,0.0,0.0,0.9999966977574236
PTF1A,2.573176411266981e-09,0.0,0.0,0.9999999974268263
HOXC10,0.0,1.0,0.0,3.0870221595884605e-223
TFAP2B,0.0008821862152705494,0.0,0.0,0.9991178137847293
FOXC1,1.2801868856399986e-06,0.0,0.0,0.999998719813116
NTN1,0.13073978302076628,0.0,0.0,0.8692602169792337
NTRK1,0.9664826070497448,0.0,0.0,0.03351739295025449
FOXA1,0.0004634857709547994,0.0,0.0,0.9995365142290458
SP8,8.776559317912536e-05,0.0,0.0,0.9999122344068214
SIM2,3.710349057342527e-12,0.0,0.9999999928712793,7.1250107596422486e-09
COMP,0.003540818755769792,0.0,0.0,0.9964591812442296
TBX1,2.2802622715492963e-05,0.0,0.0,0.9999771973772834
TLX3,5.122189955275743e-07,0.0,0.0,0.9999994877810037
PRDM6,0.0004883726449973737,0.0,0.0,0.9995116273550025
PRSS16,2.06479822113095e-21,0.0,0.0,1.0
OLIG3,6.377995687978716e-07,0.0,0.0,0.9999993622004313
EVX1,2.0084565594755763e-60,0.0,1.0,4.503828114341993e-57
CDX2,5.983556329154816e-07,0.0,0.0,0.9999994016443678
DLX2,3.427865981722298e-12,0.0,0.0,0.9999999999965716
IGF2BP1,0.9878835097901366,0.0,0.0,0.012116490209864897
TBX2,0.3039718352953714,0.0,0.0,0.6960281647046299
LBX1,1.0815012251367116e-22,0.0,0.9999999999999591,4.071430891080392e-14
TTC6,0.0004634857709547994,0.0,0.0,0.9995365142290458
IRX5,0.17437325280989505,0.0,0.0,0.8256267471901038
ASCL1,6.026000820568565e-05,0.0,0.0,0.9999397399917959
HOXB13,3.737097195095629e-58,0.0,1.0,1.167263532080591e-51
KCNQ2,0.9999999999999645,0.0,0.0,3.5631478488503726e-14
DOK7,0.9443482282863767,0.0,0.0,0.0556517717136227
LHX8,0.004240275467921565,0.0,0.0,0.9957597245320785
POM121L2,3.3085107267400085e-21,0.0,0.0,1.0
ISL1,0.0027506040237413308,0.0,0.0,0.9972493959762578
SHTN1,0.995461135155198,0.0,0.0,0.004538864844803546
PHOX2B,2.3629379798017248e-05,0.0,0.0,0.9999763706202021
DLX1,4.6305825351564195e-17,0.0,0.0,1.0
ALX4,1.1704411836866735e-18,0.0,0.9999999427751031,5.722489714734301e-08
SOX2,7.024405810939769e-05,0.0,0.0,0.9999297559418897
LHX4,0.01906609182800605,0.0,0.0,0.980933908171993
PAX1,0.0004178464241646882,0.0,0.0,0.999582153575837
PRDM8,0.8897539070722983,0.0,0.0,0.1102460929277033
BARX1,6.498534365765737e-07,0.0,0.0,0.9999993501465647
BCAN,0.004676139800291586,0.0,0.0,0.9953238601997095
FLI1,0.9975358008650587,0.0,0.0,0.0024641991349419216
MEIS2,0.9288473140553872,0.0,0.0,0.07115268594461187
BCL11B,0.9553527011041271,0.0,0.0,0.0446472988958742
DMRTA2,2.209432836504171e-06,0.0,0.0,0.9999977905671643
IRX2,0.4966712687443513,0.0,0.0,0.5033287312556491
ONECUT2,0.0022386411939312903,0.0,0.0,0.9977613588060673
VAX2,0.0004491715081912984,0.0,0.0,0.9995508284918083
WT1,0.0001314326016198193,0.0,0.0,0.9998685673983795
GATA3,3.858377233431758e-15,0.0,0.0,0.9999999999999964
POU3F3,0.00013289669260556862,0.0,0.0,0.9998671033073938
FOXD3,0.014235609287776793,0.0,0.0,0.9857643907122217
POU4F2,4.422900158897049e-05,0.0,0.0,0.9999557709984097
MPPED1,0.9971802124733594,0.0,0.0,0.00281978752663975
EOMES,0.009961670951399647,0.0,0.0,0.9900383290485993
FOXD1,2.6885247593009626e-05,0.0,0.0,0.9999731147524081
CRTAC1,0.158896992868874,0.0,0.0,0.8411030071311254
IRX1,0.013624379968267342,0.0,0.0,0.9863756200317327
FOXL1,0.013815899882492516,0.0,0.0,0.9861841001175079
LINGO1,1.0,0.0,0.0,5.2164676308420455e-18
CDC20B,0.006317744696674824,0.0,0.0,0.9936822553033254
NFIX,0.9999997949665979,0.0,0.0,2.050334041068277e-07
