GENE,cluster1,cluster2
HOXA7,1.2222216151994453e-138,1.0
HOXD8,4.635765168548251e-191,1.0
TBX15,1.0,0.0
KCNQ2,1.0,0.0
ZIC5,1.0,0.0
ALX4,1.0,0.0
TFAP2A,1.0,0.0
EN2,1.0,0.0
NR2E1,1.0,0.0
POU3F3,1.0,0.0
LMX1B,1.0,0.0
EN1,1.0,0.0
MSX1,1.0,0.0
FOXD1,1.0,0.0
HOXC10,5.201602237880764e-159,1.0
INHBB,1.0,0.0
POM121L2,1.0,0.0
ARX,1.0,0.0
TLX3,1.0,0.0
DSCAML1,1.0,0.0
EPHA8,1.0,0.0
BARX2,1.0,0.0
IGSF21,1.0,0.0
PAX6,1.0,0.0
HOXB6,8.796109352974624e-122,1.0
FOXF2,1.0,0.0
NTN1,1.0,0.0
SLC32A1,1.0,0.0
METAP1D,1.0,0.0
LHX5,1.0,0.0
LMX1A,1.0,0.0
OLIG2,1.0,0.0
DMRT1,1.0,0.0
NPTX1,1.0,0.0
SYT2,1.0,0.0
PRSS16,1.0,0.0
ROBO3,1.0,0.0
LBX1,1.0,0.0
FEZF2,1.0,0.0
BCAN,1.0,0.0
SLC18A3,1.0,0.0
CDX2,1.0,0.0
POU4F2,1.0,0.0
NR2F2,1.0,0.0
MPPED1,1.0,0.0
HOXB13,1.0,0.0
WNT10B,1.0,0.0
CRYBA2,1.0,0.0
TWIST1,1.0,0.0
VAX2,1.0,0.0
OSR1,1.0,0.0
PDE2A,1.0,0.0
PDX1,1.0,0.0
NR2F1,1.0,0.0
EMX1,1.0,0.0
SLC9A3,1.0,0.0
ARHGAP36,1.0,0.0
OLIG1,1.0,0.0
NEUROG1,1.0,0.0
CBX8,1.0,0.0
DUOXA1,1.0,0.0
ONECUT3,1.0,0.0
C1QA,1.0,0.0
TBX20,1.0,0.0
NFIX,1.0,0.0
SOX2,1.0,0.0
SLC12A5,1.0,0.0
TBX5,1.0,0.0
FEZF1,1.0,0.0
OTX2,1.0,0.0
VSTM2B,1.0,0.0
NR5A1,1.0,0.0
VSX1,1.0,0.0
BCL11B,1.0,0.0
EPS8L1,1.0,0.0
SPR,1.0,0.0
NEUROD1,1.0,0.0
PRDM6,1.0,0.0
SYPL2,1.0,0.0
KCNJ5,1.0,0.0
GATA4,1.0,0.0
IRX6,1.0,0.0
BHLHE23,1.0,0.0
TFAP2D,1.0,0.0
WNT3A,1.0,0.0
IGF2BP1,1.0,0.0
SKOR1,1.0,0.0
PPIE,1.0,0.0
HLX,1.0,0.0
SLC6A5,1.0,0.0
LPO,1.0,0.0
POU2F3,1.0,0.0
GRIK3,1.0,0.0
COL2A1,1.0,0.0
ASCL1,1.0,0.0
BMI1,1.0,0.0
SIX1,1.0,0.0
GAD2,1.0,0.0
GATA5,1.0,0.0
HOXC4,1.1432057543622305e-209,1.0
MEIS2,1.0,0.0
SYT7,1.0,0.0
FOXC1,1.0,0.0
TCHH,1.0,0.0
SALL3,1.0,0.0
LHX3,1.0,0.0
CDK5R2,1.0,0.0
FOXC2,1.0,0.0
HOXC5,1.1432057543622305e-209,1.0
TBX3,1.0,0.0
NKX3-1,1.0,0.0
GABRD,1.0,0.0
PCK1,1.0,0.0
PAX5,1.0,0.0
PAX3,1.0,0.0
MMP9,1.0,0.0
RIPK3,1.0,0.0
GATA3,1.0,0.0
HMX3,1.0,0.0
DLK1,1.0,0.0
SYNDIG1L,1.0,0.0
SALL1,1.0,0.0
NRN1,1.0,0.0
SIM1,1.0,0.0
RFX4,1.0,0.0
NKX2-6,1.0,0.0
CUX2,1.0,0.0
KCNA1,1.0,0.0
FGF3,1.0,0.0
LHX4,1.0,0.0
ZIC3,1.0,0.0
KCND3,1.0,0.0
C1QL2,1.0,0.0
PKNOX2,1.0,0.0
SIX6,1.0,0.0
BTNL9,1.0,0.0
PHF21B,1.0,0.0
PRKAG1,1.0,0.0
KRT76,1.0,0.0
SLC6A3,1.0,0.0
CACNA1E,1.0,0.0
IRX4,1.0,0.0
GSX1,1.0,0.0
VSTM2L,1.0,0.0
NGFR,1.0,0.0
BMP4,1.0,0.0
PRDM8,1.0,0.0
NKX2-2,1.0,0.0
