GENE,cluster1,cluster2,cluster3,cluster4,cluster5
ZIC5,2.581574617876459e-06,0.0,0.0,0.9999974184253799,0.0
LBX1,1.0886158647065586e-42,0.0,0.0,7.067441714985047e-21,1.0
HOXD8,0.0,0.0,1.0,2.347705102801546e-280,0.0
TBX15,7.111474871321391e-15,0.0,0.0,0.9999999999999929,0.0
HOXA7,6.349876720431675e-215,0.0,1.0,2.126359789036619e-207,0.0
SIM2,4.691178888658249e-27,0.0,0.0,4.897085577699892e-13,0.9999999999995102
PTF1A,1.8989114662841984e-10,0.0,0.0,0.9999999998101075,0.0
VAX1,2.3585813202024512e-09,0.0,0.0,0.9999999976414173,0.0
POU4F2,4.457655712487817e-10,0.0,0.0,0.9999999995542339,0.0
GSX1,9.440223415834205e-08,0.0,0.0,0.9999999055977655,0.0
TFAP2A,0.00015538048975528062,0.0,0.0,0.9998446195102445,0.0
FEZF2,1.0523593320550847e-09,0.0,0.0,0.99999999894764,0.0
HOXC10,1.0727e-319,1.0,0.0,1.5607816508536214e-295,0.0
LHX4,0.021466936044229862,0.0,0.0,0.9785330639557696,0.0
PAX6,3.182229342626686e-30,0.0,0.0,3.5885251069054805e-11,0.9999999999641149
HAPLN2,3.755000293602573e-07,0.0,0.0,0.9999996244999702,0.0
OLIG3,2.619194121803386e-21,0.0,0.0,1.0,0.0
LMX1A,1.441942414981772e-10,0.0,0.0,0.999999999855806,0.0
EMX1,6.61354795392796e-16,0.0,0.0,1.0,0.0
HOXB13,1.4072612733289016e-77,0.0,0.0,1.9893363394522712e-41,1.0
POM121L2,1.1540811557735492e-77,0.0,0.0,1.483280524837083e-28,1.0
TLX3,1.5230151827003873e-06,0.0,0.0,0.9999984769848156,0.0
INHBB,0.9926527361352812,0.0,0.0,0.0073472638647199716,0.0
SP8,1.3902702590975989e-08,0.0,0.0,0.9999999860972971,0.0
TBX1,0.9437126178552824,0.0,0.0,0.05628738214471646,0.0
PAX9,8.510532814761554e-17,0.0,0.0,1.0,0.0
NTN1,0.00020442152506412818,0.0,0.0,0.9997955784749354,0.0
PRDM6,1.4991421122721333e-08,0.0,0.0,0.9999999850085787,0.0
SIX2,3.683282235008516e-11,0.0,0.0,0.9999999999631655,0.0
BLK,5.257046224515339e-06,0.0,0.0,0.9999947429537759,0.0
POU3F2,1.9868525284162283e-15,0.0,0.0,0.9999999999999964,0.0
SHOX2,0.00046455924062797926,0.0,0.0,0.9995354407593725,0.0
HOXB6,3.6446619107035476e-259,0.0,1.0,1.1175688314314984e-202,0.0
FOXB2,1.6469080714248173e-07,0.0,0.0,0.9999998353091926,0.0
