GENE,cluster1,cluster2,cluster3
HOXB13,1.0653018742451048e-53,0.0,1.0
PAX5,0.0005818860379273295,0.0,0.9994181139620735
OTX2,0.9905328286775591,0.0,0.009467171322440127
HOXD8,4.5118762191511376e-220,1.0,6.661671164529581e-237
SLC32A1,0.9979649195411359,0.0,0.002035080458864846
TLX3,0.9999847304492013,0.0,1.5269550799876773e-05
SIM2,0.09975787908101674,0.0,0.9002421209189823
CDH22,0.9999999510263476,0.0,4.897365003111468e-08
GATA4,1.8128932766506247e-16,0.0,1.0
OLIG2,0.01130204026204748,0.0,0.9886979597379535
SIM1,0.999999960599287,0.0,3.9400713982997724e-08
ZIC5,0.9999954768086653,0.0,4.523191335127613e-06
HOXC10,1.91664588941179e-206,1.0,0.0
KCNQ2,0.9999999999755005,0.0,2.4500912315212306e-11
LHX5,0.999288662531346,0.0,0.0007113374686530156
SIX2,0.9955935373316308,0.0,0.004406462668370582
LBX1,0.00388658236888791,0.0,0.9961134176311115
NKX2-5,0.9999371169747883,0.0,6.288302521063364e-05
PDX1,0.9978913185130285,0.0,0.0021086814869698935
INHBB,0.9996339740020257,0.0,0.0003660259979745423
ZIC4,7.883449048610645e-06,0.0,0.9999921165509517
HOXA7,1.5120035716032368e-205,1.0,2.7514888734389264e-268
BARX2,0.9998773866713804,0.0,0.00012261332862067973
GATA2,0.03961313211039601,0.0,0.9603868678896037
NKX6-1,0.9990421722684997,0.0,0.0009578277315005502
DMRT1,0.9999999950738143,0.0,4.926185259349986e-09
IRX1,0.9999925785796346,0.0,7.4214203645836645e-06
CHAT,0.9999675551870402,0.0,3.244481295997024e-05
MSX1,0.999958646278934,0.0,4.1353721065962055e-05
TBX15,1.0,0.0,1.0704243172277532e-15
POU4F3,0.9999997412543438,0.0,2.587456550556605e-07
ONECUT3,0.0006137163993644656,0.0,0.9993862836006362
DSCAML1,0.9997518917181377,0.0,0.0002481082818626554
SLC26A10,0.9999973376476403,0.0,2.662352361237996e-06
PRDM16,1.0,0.0,9.431757463032383e-36
SCN4B,0.9999990436613818,0.0,9.563386171785089e-07
NR2E1,0.02352622896778584,0.0,0.9764737710322147
HOXB6,7.906387546520449e-224,1.0,1.0526609228568412e-133
PAX6,0.9792850610122592,0.0,0.020714938987742466
BLK,0.9999999878447811,0.0,1.2155217356532362e-08
PAX9,0.9999747139801217,0.0,2.528601987935116e-05
CNTFR,0.9992148953555564,0.0,0.0007851046444440331
NR2F2,1.0,0.0,1.6327130925234652e-15
VAX1,0.9346594238361957,0.0,0.0653405761638036
OTP,0.9988740653473841,0.0,0.0011259346526163545
