GENE,cluster1
PAX5,1.0
SIX3,1.0
EN2,1.0
NKX2-6,1.0
LMX1B,1.0
HOXC10,1.0
ZIC5,1.0
FEZF2,1.0
SIM2,1.0
SP8,1.0
HOXD8,1.0
CDX2,1.0
MSX1,1.0
EMX1,1.0
ROBO3,1.0
SIM1,1.0
NKX2-2,1.0
VAX1,1.0
IGF2BP1,1.0
NEUROG3,1.0
HMX1,1.0
FOXC1,1.0
TBX2,1.0
NTN1,1.0
SLC26A10,1.0
DDN,1.0
TBX18,1.0
GBX1,1.0
OSR2,1.0
DMRT1,1.0
ZIC4,1.0
SOX2,1.0
FOXD3,1.0
LHX8,1.0
PRDM8,1.0
LMX1A,1.0
POM121L2,1.0
POU4F2,1.0
NEUROD2,1.0
DLX2,1.0
TFAP2B,1.0
DMRTA2,1.0
PAX1,1.0
FEZF1,1.0
NKX2-3,1.0
C1QL2,1.0
ASCL1,1.0
NR5A1,1.0
SALL1,1.0
SLC17A7,1.0
TFAP2D,1.0
MEIS2,1.0
CDK5R2,1.0
NFIX,1.0
CCDC33,1.0
KCND3,1.0
SLC12A5,1.0
BCL11B,1.0
CYP26A1,1.0
THBD,1.0
OSR1,1.0
GATA3,1.0
SCRG1,1.0
MMP9,1.0
FOXL1,1.0
KCNQ2,1.0
MPPED1,1.0
GSC,1.0
CD40,1.0
TCTE1,1.0
LHX9,1.0
SLIT1,1.0
OLIG1,1.0
TTLL6,1.0
IHH,1.0
PLXNA4,1.0
HOXC8,1.0
BHLHE23,1.0
LHX6,1.0
SHOX2,1.0
FAM172A,1.0
WNT1,1.0
FOXC2,1.0
TBX3,1.0
SLC6A1,1.0
EGFLAM,1.0
SIX1,1.0
NTRK1,1.0
ADGRA1,1.0
NR2F1,1.0
RIPK3,1.0
IRX2,1.0
BCOR,1.0
SYPL2,1.0
CDC20B,1.0
NRG2,1.0
MEIS1,1.0
PSD2,1.0
DMBX1,1.0
TROAP,1.0
GATA4,1.0
SEZ6,1.0
IRX1,1.0
NR2F2,1.0
TLX3,1.0
PRMT8,1.0
PHOX2B,1.0
CRTAC1,1.0
CYP26B1,1.0
TCF21,1.0
OTP,1.0
FOXD1,1.0
KCNA1,1.0
IGF2,1.0
NFIC,1.0
IGF2BP3,1.0
ESX1,1.0
NKX6-1,1.0
EGR3,1.0
DBX1,1.0
KLF14,1.0
CAMK2N1,1.0
TRIM63,1.0
MAFB,1.0
EXOC6,1.0
TMEM132E,1.0
EBF2,1.0
BCL11A,1.0
ANO1,1.0
OTOP2,1.0
ATP6V1B1,1.0
DLX6,1.0
NOVA2,1.0
SLC17A9,1.0
SMUG1,1.0
SOX21,1.0
SLC9A3,1.0
PPIE,1.0
TWIST1,1.0
ZBTB16,1.0
CACNA1G,1.0
KCNC1,1.0
SP5,1.0
DOK7,1.0
UNC5A,1.0
ANK1,1.0
DNAJC22,1.0
