	cluster1
Anatomical_structure_development	5.6e-41
Anatomical_structure_formation_involved_in_morphogenesis	1.26e-09
Anatomical_structure_maturation	0.0018
Anatomical_structure_morphogenesis	1.2e-33
Animal_organ_development	2.49e-43
Animal_organ_morphogenesis	2.51e-29
Anterior/posterior_axis_specification	0.0043
Anterior/posterior_pattern_specification	5.94e-22
Apoptotic_process	0.0013
Artery_development	0.00049
Astrocyte_differentiation	0.0049
Atrial_cardiac_muscle_tissue_development	8.74e-05
Atrioventricular_canal_development	0.0077
Autonomic_nervous_system_development	0.00016
Axis_specification	0.0043
Axon_development	9.42e-13
Axon_guidance	2.53e-15
Axonogenesis	1.1e-12
Biological_regulation	6.12e-07
Blood_vessel_development	0.00034
Bone_development	0.009
Brain_development	5.69e-25
Branching_involved_in_prostate_gland_morphogenesis	0.0053
Branching_morphogenesis_of_an_epithelial_tube	7.37e-06
Camera-type_eye_development	7.18e-08
Cardiac_cell_fate_commitment	0.00042
Cardiac_chamber_development	5.96e-06
Cardiac_chamber_morphogenesis	3.76e-05
Cardiac_conduction_system_development	0.00076
Cardiac_muscle_cell_development	0.004
Cardiac_muscle_cell_fate_commitment	0.0027
Cardiac_muscle_tissue_development	0.00052
Cardiac_pacemaker_cell_development	0.00012
Cardiac_septum_development	1.24e-05
Cardiac_septum_morphogenesis	9.38e-05
Cardiac_ventricle_development	0.00037
Cardiac_ventricle_morphogenesis	0.0084
Cardiocyte_differentiation	0.0013
Cartilage_development	0.00033
Cell_development	2.77e-24
Cell_differentiation	1.24e-35
Cell_differentiation_in_spinal_cord	3.17e-12
Cell_fate_commitment	3.33e-29
Cell_fate_determination	6.16e-10
Cell_fate_specification	3.76e-22
Cell_migration	5.98e-08
Cell_morphogenesis	3.61e-10
Cell_morphogenesis_involved_in_differentiation	8.39e-11
Cell_morphogenesis_involved_in_neuron_differentiation	5.21e-12
Cell_motility	3.71e-07
Cell_population_proliferation	4.29e-14
Cellular_component_morphogenesis	7.48e-11
Cellular_process	0.0017
Central_nervous_system_development	1.26e-35
Central_nervous_system_neuron_development	0.0025
Central_nervous_system_neuron_differentiation	2.92e-15
Cerebellum_development	0.0061
Cerebral_cortex_GABAergic_interneuron_differentiation	0.0053
Cerebral_cortex_development	0.002
Chordate_embryonic_development	2.41e-13
Circulatory_system_development	2.48e-07
Columnar/cuboidal_epithelial_cell_differentiation	3.85e-10
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	0.0015
Connective_tissue_development	7.36e-05
Cranial_nerve_development	1.88e-06
Cranial_skeletal_system_development	0.0013
Determination_of_left/right_symmetry	5.38e-05
Developmental_growth	0.00073
Developmental_growth_involved_in_morphogenesis	0.003
Developmental_maturation	0.00025
Developmental_process_involved_in_reproduction	0.00012
Diencephalon_development	7.15e-08
Digestive_system_development	1.24e-07
Digestive_tract_development	6.17e-07
Dopaminergic_neuron_differentiation	5.98e-08
Dorsal/ventral_pattern_formation	8.56e-09
Ear_development	2.74e-13
Ear_morphogenesis	1.87e-11
Embryo_development	2.72e-31
Embryo_development_ending_in_birth_or_egg_hatching	7.9e-14
Embryonic_camera-type_eye_morphogenesis	0.0028
Embryonic_cranial_skeleton_morphogenesis	0.0016
Embryonic_digestive_tract_development	0.0059
Embryonic_digit_morphogenesis	1.06e-07
Embryonic_forelimb_morphogenesis	3.99e-08
Embryonic_heart_tube_development	1.33e-07
Embryonic_hindlimb_morphogenesis	0.00023
Embryonic_limb_morphogenesis	3e-14
Embryonic_morphogenesis	1.67e-28
Embryonic_organ_development	6.78e-26
Embryonic_organ_morphogenesis	3.31e-23
Embryonic_pattern_specification	2.1e-10
Embryonic_skeletal_system_development	9.5e-14
Embryonic_skeletal_system_morphogenesis	7.43e-12
Endocardial_cushion_development	0.00014
Endocardial_cushion_morphogenesis	0.0085
Endocrine_pancreas_development	4.1e-06
Endocrine_system_development	5.94e-15
Enteroendocrine_cell_differentiation	0.0003
Epidermis_development	0.0061
Epithelial_cell_development	0.00079
Epithelial_cell_differentiation	7.95e-15
Epithelial_tube_morphogenesis	5.02e-10
Epithelium_development	6.33e-29
Exocrine_system_development	0.001
Eye_development	1.41e-09
Female_sex_differentiation	0.0093
Forebrain_anterior/posterior_pattern_specification	0.00041
Forebrain_development	6.33e-18
Forebrain_neuron_differentiation	7.38e-05
Forebrain_regionalization	5.18e-06
Forelimb_morphogenesis	6.06e-09
GABAergic_neuron_differentiation	0.00063
Generation_of_neurons	1.22e-32
Gland_development	3.44e-15
Gland_morphogenesis	0.0001
Glandular_epithelial_cell_differentiation	4.4e-06
Glial_cell_development	0.0093
Glial_cell_differentiation	2.1e-06
Glial_cell_fate_commitment	0.0064
Gliogenesis	6.41e-07
Gonad_development	0.0025
Head_development	5.51e-28
Heart_development	8.95e-08
Heart_looping	3.61e-06
Heart_morphogenesis	4.4e-06
Hematopoietic_or_lymphoid_organ_development	0.0092
Hindbrain_development	2.71e-08
Hindlimb_morphogenesis	3.3e-05
Inner_ear_development	5.41e-11
Inner_ear_morphogenesis	6.85e-09
Interneuron_migration	0.00052
Kidney_development	7.17e-07
Kidney_epithelium_development	8.64e-07
Kidney_mesenchyme_development	0.0009
Limb_morphogenesis	2.8e-14
Limbic_system_development	0.0013
Loop_of_Henle_development	0.0064
Lung_development	0.0031
Mesenchymal_cell_apoptotic_process	0.0064
Mesenchymal_cell_differentiation	6.58e-06
Mesenchymal_cell_proliferation	0.0002
Mesenchyme_development	5.82e-10
Mesenchyme_morphogenesis	0.003
Mesoderm_development	0.00037
