	cluster1	cluster2
Adenohypophysis_development	0.00072	1
Anatomical_structure_development	4.91e-31	1
Anatomical_structure_formation_involved_in_morphogenesis	1.07e-09	1
Anatomical_structure_morphogenesis	8.77e-27	1
Animal_organ_development	3.21e-32	1
Animal_organ_morphogenesis	1.87e-26	1
Anterior/posterior_axis_specification	0.0004	1
Anterior/posterior_pattern_specification	7.07e-15	3e-08
Aortic_valve_morphogenesis	1.98e-05	1
Apoptotic_process	0.0011	1
Aromatic_compound_biosynthetic_process	0.0016	1
Artery_development	0.00045	1
Atrial_cardiac_muscle_tissue_development	0.0016	1
Atrial_septum_morphogenesis	0.0096	1
Atrioventricular_canal_development	0.007	1
Atrioventricular_valve_development	0.0029	1
Autonomic_nervous_system_development	0.00014	1
Axis_specification	5e-06	1
Axon_development	7.76e-12	1
Axon_guidance	4.1e-12	1
Axonogenesis	9.48e-12	1
Biological_regulation	3.36e-08	1
Blood_vessel_development	6.89e-05	1
Bone_morphogenesis	0.00063	1
Brain_development	4.15e-25	1
Branching_involved_in_prostate_gland_morphogenesis	0.0049	1
Branching_morphogenesis_of_an_epithelial_tube	0.00047	1
Camera-type_eye_development	6.44e-08	1
Camera-type_eye_morphogenesis	0.0025	1
Cardiac_chamber_morphogenesis	0.00029	1
Cardiac_conduction_system_development	0.00071	1
Cardiac_muscle_cell_differentiation	0.0021	1
Cardiac_muscle_cell_fate_commitment	0.0025	1
Cardiac_muscle_tissue_development	1.15e-06	1
Cardiac_muscle_tissue_growth	0.0045	1
Cardiac_septum_development	0.00011	1
Cardiac_septum_morphogenesis	0.0074	1
Cardiac_ventricle_development	4.32e-06	1
Cardiac_ventricle_morphogenesis	0.00088	1
Cardiocyte_differentiation	0.0012	1
Cell-cell_signaling	1.03e-07	1
Cell_communication	0.0025	1
Cell_development	2.22e-20	1
Cell_differentiation	3.83e-33	1
Cell_differentiation_in_spinal_cord	1.91e-09	1
Cell_differentiation_involved_in_kidney_development	0.0016	1
Cell_differentiation_involved_in_metanephros_development	0.00085	1
Cell_fate_commitment	3.45e-24	1
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	0.0036	1
Cell_fate_determination	3.11e-07	1
Cell_fate_specification	6.82e-10	1
Cell_migration	0.00016	1
Cell_morphogenesis	3.25e-10	1
Cell_morphogenesis_involved_in_neuron_differentiation	3.85e-11	1
Cell_population_proliferation	1.07e-11	1
Cell_proliferation_in_forebrain	9.68e-05	1
Cellular_process	0.0023	1
Cellular_response_to_chemical_stimulus	0.0035	1
