	cluster1	cluster2	cluster3	cluster4	cluster5
Adenohypophysis_development	1	1	1	0.0064	1
Alpha-beta_T_cell_differentiation	1	1	1	0.0023	1
Anatomical_structure_development	0.0021	1	1	8.7e-31	1
Anatomical_structure_formation_involved_in_morphogenesis	1	1	1	9.56e-11	1
Anatomical_structure_morphogenesis	1	1	1	9.79e-29	1
Animal_organ_development	1	1	1	4.35e-31	1
Animal_organ_morphogenesis	1	1	1	2.56e-28	1
Anterior/posterior_axis_specification	1	1	1	0.0011	1
Anterior/posterior_pattern_specification	1	0.00024	1	1.66e-11	1
Anterior/posterior_pattern_specification_involved_in_kidney_development	1	1	1	0.0068	1
Autonomic_nervous_system_development	1	1	1	0.0068	1
Axis_specification	1	1	1	6.65e-06	1
Axon_development	1	1	1	7.92e-08	1
Axon_guidance	1	1	1	6.88e-07	1
Axonogenesis	1	1	1	1.66e-07	1
Biological_regulation	1	1	1	3.16e-09	1
Bone_development	1	1	1	2.99e-06	1
Bone_morphogenesis	1	1	1	6.71e-07	1
Brain_development	1	1	1	2.46e-16	1
Branching_involved_in_ureteric_bud_morphogenesis	1	1	1	0.0056	1
Branching_morphogenesis_of_an_epithelial_tube	1	1	1	0.00054	1
Camera-type_eye_development	1	1	1	0.00014	1
Cardiac_cell_fate_commitment	1	1	1	0.0041	1
Cardiac_conduction_system_development	1	1	1	0.00019	1
Cardiac_muscle_tissue_development	1	1	1	0.0028	1
Cardiocyte_differentiation	1	1	1	0.00021	1
Cartilage_development	1	1	1	2.97e-05	1
Cell-cell_signaling	1	1	1	0.0082	1
Cell_development	1	1	1	2.32e-16	1
Cell_differentiation	1	1	1	5.13e-35	1
Cell_differentiation_in_spinal_cord	1	1	1	1.07e-10	1
Cell_differentiation_involved_in_metanephros_development	1	1	1	9.6e-06	1
Cell_fate_commitment	1	1	1	2.8e-32	1
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	1	1	1	6.31e-05	1
Cell_fate_determination	1	1	1	3.76e-11	1
Cell_fate_specification	1	1	1	2.07e-23	1
Cell_migration	1	1	1	9.54e-09	1
Cell_morphogenesis	1	1	1	3.97e-06	1
Cell_morphogenesis_involved_in_differentiation	1	1	1	4.45e-06	1
Cell_population_proliferation	1	1	1	9.43e-11	1
Central_nervous_system_development	1	1	1	1.56e-25	1
Central_nervous_system_neuron_differentiation	1	1	1	2.45e-15	1
Cerebral_cortex_development	1	1	1	0.00033	1
Cerebral_cortex_neuron_differentiation	1	1	1	0.001	1
Cerebral_cortex_regionalization	1	1	1	0.00086	1
Chemotaxis	1	1	1	0.00027	1
Chondrocyte_differentiation	1	1	1	0.00048	1
Chordate_embryonic_development	1	1	1	1.29e-10	1
Circulatory_system_development	1	1	1	9.5e-05	1
Columnar/cuboidal_epithelial_cell_development	1	1	1	0.0044	1
Columnar/cuboidal_epithelial_cell_differentiation	1	1	1	9.98e-12	1
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	1	1	1	0.00062	1
Connective_tissue_development	1	1	1	3.82e-06	1
Cranial_nerve_development	1	1	1	0.00097	1
Cranial_skeletal_system_development	1	1	1	1.83e-05	1
Craniofacial_suture_morphogenesis	1	1	1	0.0082	1
Developmental_process	0.0021	1	1	1.13e-29	1
Developmental_process_involved_in_reproduction	1	1	1	0.00046	1
Diencephalon_development	1	1	1	0.00031	1
Digestive_system_development	1	1	1	1.71e-11	1
Digestive_tract_development	1	1	1	1.89e-09	1
Digestive_tract_morphogenesis	1	1	1	2.96e-05	1
Dopaminergic_neuron_differentiation	1	1	1	0.00012	1
Dorsal/ventral_pattern_formation	1	1	1	3.93e-10	1
Dorsal_spinal_cord_development	1	1	1	1.16e-05	1
Ear_development	1	1	1	1.85e-13	1
Ear_morphogenesis	1	1	1	5.03e-12	1
Embryo_development	1	1	1	3.13e-18	1
Embryo_development_ending_in_birth_or_egg_hatching	1	1	1	3.39e-11	1
Embryonic_cranial_skeleton_morphogenesis	1	1	1	2.39e-05	1
Embryonic_digestive_tract_development	1	1	1	0.002	1
Embryonic_digestive_tract_morphogenesis	1	1	1	0.0064	1
Embryonic_digit_morphogenesis	1	1	1	6.71e-05	1
Embryonic_epithelial_tube_formation	1	1	1	0.0035	1
Embryonic_eye_morphogenesis	1	1	1	0.0024	1
Embryonic_forelimb_morphogenesis	1	1	1	1.51e-07	1
Embryonic_hindlimb_morphogenesis	1	1	1	2.1e-06	1
Embryonic_limb_morphogenesis	1	1	1	2.53e-06	1
Embryonic_morphogenesis	1	1	1	2.08e-18	1
Embryonic_organ_development	1	1	1	5.46e-18	1
Embryonic_organ_morphogenesis	1	1	1	2.46e-17	1
Embryonic_skeletal_joint_morphogenesis	1	1	1	6.46e-05	1
Embryonic_skeletal_system_development	1	0.0038	1	2.84e-08	1
Embryonic_skeletal_system_morphogenesis	1	1	1	2.72e-08	1
Endocardial_cushion_development	1	1	1	0.00045	1
Endocardial_cushion_morphogenesis	1	1	1	0.0029	1
Endocrine_pancreas_development	1	1	1	0.00026	1
Endocrine_system_development	1	1	1	1.75e-09	1
Endoderm_development	1	1	1	0.00039	1
Endoderm_formation	1	1	1	0.0099	1
