	cluster1	cluster2	cluster3
Anatomical_structure_development	1.72e-27	1	9.94e-06
Anatomical_structure_formation_involved_in_morphogenesis	1.15e-09	1	1
Anatomical_structure_morphogenesis	5.69e-25	1	5.71e-05
Animal_organ_development	7.85e-26	1	4.01e-05
Animal_organ_morphogenesis	1.62e-21	1	0.00063
Anterior/posterior_axis_specification	0.00021	1	1
Anterior/posterior_pattern_specification	1.47e-12	3.39e-10	1
Anterior/posterior_pattern_specification_involved_in_kidney_development	0.0091	1	1
Aortic_valve_morphogenesis	0.0034	1	1
Apoptotic_process_involved_in_heart_morphogenesis	0.00074	1	1
Apoptotic_process_involved_in_outflow_tract_morphogenesis	0.0091	1	1
Atrial_cardiac_muscle_tissue_development	4.77e-05	1	1
Atrioventricular_canal_development	0.0054	1	1
Autonomic_nervous_system_development	4.72e-06	1	1
Axis_specification	2.12e-06	1	1
Axon_development	8.87e-07	1	1
Axon_guidance	5.61e-07	1	1
Axonogenesis	1.6e-06	1	1
Behavior	0.0052	1	1
Biological_regulation	5.66e-08	1	1
Blood_circulation	0.0028	1	1
Blood_vessel_development	6.54e-05	1	1
Bone_development	0.0007	1	1
Bone_morphogenesis	0.0026	1	1
Brain_development	8.85e-17	1	0.0014
Branching_morphogenesis_of_an_epithelial_tube	0.0096	1	1
Camera-type_eye_development	2.27e-05	1	1
Camera-type_eye_morphogenesis	0.0083	1	1
Cardiac_chamber_development	1.51e-05	1	1
Cardiac_chamber_morphogenesis	1.33e-05	1	1
Cardiac_conduction_system_development	2.48e-05	1	1
Cardiac_muscle_cell_differentiation	0.0093	1	1
Cardiac_muscle_cell_fate_commitment	0.0019	1	1
Cardiac_muscle_cell_proliferation	0.0011	1	1
Cardiac_muscle_tissue_development	2.49e-05	1	1
Cardiac_pacemaker_cell_development	0.0025	1	1
Cardiac_septum_development	4.74e-05	1	1
Cardiac_septum_morphogenesis	0.00048	1	1
Cardiac_ventricle_development	0.00014	1	1
Cardiac_ventricle_morphogenesis	0.0047	1	1
Cardiocyte_differentiation	0.0006	1	1
Cartilage_development	1.44e-05	1	1
Cell-cell_signaling	8.5e-05	1	1
Cell_development	1.72e-15	1	1
Cell_differentiation	4.1e-30	1	0.00057
Cell_differentiation_in_spinal_cord	9.38e-05	1	0.0043
Cell_differentiation_involved_in_kidney_development	0.001	1	1
Cell_differentiation_involved_in_metanephros_development	0.00057	1	1
Cell_fate_commitment	1.11e-25	1	3.39e-06
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	0.0025	1	1
Cell_fate_determination	2.12e-10	1	1
Cell_fate_specification	5.52e-16	1	1
Cell_migration	0.00028	1	1
Cell_morphogenesis	3.39e-09	1	1
Cell_morphogenesis_involved_in_differentiation	9.05e-06	1	1
Cell_morphogenesis_involved_in_neuron_differentiation	2.6e-06	1	1
Cell_population_proliferation	3.94e-14	1	1
Cellular_component_morphogenesis	4e-08	1	1
Cellular_process	0.00036	1	1
Cellular_response_to_growth_factor_stimulus	0.0026	1	1
