Genes,GSM844492,GSM844495,GSM844497,GSM844499,GSM844501,GSM844503,GSM844505,GSM844507,GSM844521,GSM844522,GSM844523,GSM844524,med_value
HOXD8,-0.785095,0.833366,1.11094,0.678997,0.709407,0.789186,0.954107,0.733851,0.457039,0.141413,1.27128,1.02493,0.7615185
HOXC10,0.391670369,-0.624129203,0.847101554,0.438901349,0.40401897,0.459197461,0.471706635,-0.279446939,0.634655671,0.023356385,1.398846181,-0.863607792,0.42146016
LMX1B,1.067241117,0.699203301,1.265605149,1.76159624,0.496626713,-0.528243941,-0.558949487,-0.685718137,0.640451853,-0.731601348,0.118780372,0.123791819,0.310209266
LBX1,-0.013755173,-0.016551178,0.764629972,0.210670988,0.241307165,0.926613953,0.433282011,-0.428739464,-0.245307142,0.6905458,0.245363979,-0.392082117,0.225989077
HOXA7,-0.181548069,-0.062315873,0.160209444,-0.050849709,0.71371295,0.644864054,0.357869637,0.827299207,-0.841905391,-0.068066054,0.722072879,0.290350749,0.225280097
SOX2,0.230356371,0.196939321,0.22812327,0.166411952,0.138468508,0.088511197,0.203034861,0.265200454,0.253289935,-0.138738166,0.412104934,0.426297737,0.215579066
KCNQ2,0.088002914,0.075350146,-0.065284752,0.193683022,0.632934381,0.268252545,0.44995518,0.37800147,0.112177562,0.0801311,0.238431294,0.422929372,0.216057158
FOXC1,-0.28766753,0.394442624,0.257879661,0.382358358,0.083662015,0.189761148,0.136084307,0.131059702,0.307454361,0.214510319,0.290901275,0.087501767,0.202135734
SIM2,-0.287275169,0.222220662,0.094932983,0.312345463,-0.105730222,0.607927183,0.697592825,0.168991501,0.522904187,-0.228779518,0.693545935,-0.248066291,0.195606082
NR2F2,0.275464443,0.071728649,0.183435474,-0.003548402,0.197984471,0.247134332,0.24071284,0.216849931,0.064186721,0.062254244,0.265047474,0.048375238,0.190709973
MSX1,-0.167109246,0.468450729,0.005780658,0.444779254,0.432380591,0.068834561,0.308300318,-0.12040964,0.421275763,0.239763839,-0.000357549,0.142237578,0.191000709
VAX1,0.372139514,-0.36271826,0.140230582,-0.194005298,-0.48847212,0.544863657,0.230830474,0.111433694,0.349883459,0.257019955,0.421086796,0.073321899,0.185530528
PDE2A,-0.162484889,0.038094989,0.168170882,-0.002035431,0.170283615,0.178636787,0.172743606,0.226557004,-0.007284959,-0.019920821,0.202583035,0.267076821,0.169227249
NTN1,-0.203232282,0.141086759,0.246465121,0.369691477,0.293085609,0.355867889,0.155848466,-0.196735301,0.302876283,0.016922125,0.180132104,-0.039809737,0.167990285
ASCL1,-0.211943731,0.201654236,0.246487956,0.199744617,0.095555982,0.083106852,0.097280158,0.155072975,0.170060721,0.040633111,0.173268622,0.238518334,0.162566848
HOXB13,0.154784257,0.161494201,0.16237882,0.199020713,0.189431916,0.395053148,1.576520433,-0.289371057,-0.915656956,0.271400823,-0.272643838,0.082655577,0.161936511
POM121L2,0.561898918,-0.402211549,0.095795164,0.178221746,0.366880067,0.394021347,0.140360937,0.141353253,0.231538955,0.1400805,0.348716011,-0.878530406,0.1597875
TFAP2A,0.685125018,0.806619291,0.170638511,0.091251816,0.571974579,0.477164015,-0.257755477,0.130734793,-0.13477067,-0.415736675,-0.233931385,0.313231723,0.150686652
FOXF2,0.157676015,0.746928127,-0.409460087,-0.087561862,0.297437885,0.1414146,0.02331133,0.041759763,-0.00746524,0.187142252,0.194962255,0.162000642,0.149545308
OLIG2,0.746510613,-0.233566514,-0.265423894,-0.154672313,0.265743629,0.027433215,0.576681613,0.337140307,-0.029083072,-0.206685714,0.462608274,0.432865814,0.146588422
EN2,0.237859951,0.522092393,0.636153111,-0.104212172,0.529234028,0.049186681,-0.560126673,-0.681200084,0.709495848,-0.032924589,0.371305721,-0.103730791,0.143523316
SP8,-0.062045437,0.023535092,0.201830544,0.313348629,-0.109779351,0.366061645,0.155544661,0.158348974,0.473128182,0.051365959,0.132344002,0.122537881,0.143944332
SIX2,0.143306919,-0.509287511,0.394844671,0.062832859,-0.066815435,0.33703201,0.445145417,0.140987499,-0.088757744,0.269465657,0.356697972,-0.135757966,0.142147209
BCL11B,-0.203672008,0.212819123,0.12227726,0.153793795,0.128757989,0.202943115,0.130376908,0.219474397,0.124709623,0.087864981,0.180820547,0.260185474,0.142085352
OLIG1,0.126936981,0.007324076,0.02324438,-0.006804353,0.154744925,0.157030982,0.220581253,0.245329193,0.100026486,-0.063212223,0.25959528,0.291680517,0.140840953
LHX4,0.244981742,0.192186159,0.552165657,0.165494418,0.060980576,0.45808207,-0.235148036,0.337483052,-0.023212697,0.116411781,-0.026571449,0.044476735,0.1409531
NFIX,-0.12836593,0.160739587,0.114237372,0.122470897,0.145255412,0.132192003,0.109278915,0.157802466,0.140292089,-0.188387162,0.168992133,0.186931871,0.136242046
DMRTA2,-0.094594778,0.207535412,0.171073494,0.152632305,-0.009810768,0.142466031,0.125248515,-0.026340287,0.200287636,-0.119449938,0.461922587,0.01795172,0.133857273
IGF2BP1,-0.113498453,0.207112614,0.167070431,0.224940371,0.106839162,0.06578252,0.127676824,0.13887762,0.331039322,-0.075228485,0.252394433,0.04824006,0.133277222
CDX2,0.046075577,-0.137331852,-0.247395744,0.227923802,0.216213887,0.161220182,0.102621465,0.696616732,0.442233761,-0.061516866,0.261425251,-0.249481086,0.131920824
TLX3,-0.288466738,-0.162956779,0.199629492,0.284866503,0.359225663,0.393734728,0.850949888,-0.06188312,0.062398024,-0.171855671,0.523930543,-0.033382823,0.131013758
TBX3,-0.743249626,0.081622343,0.357999449,0.620162217,0.075083935,0.199592911,0.130574064,0.455431712,0.081715776,-0.565998081,0.123017267,0.177417528,0.126795666
DLX2,-0.539464025,0.150964614,0.122275331,0.225169114,-0.187726193,0.036614378,0.128614771,0.226958074,0.220755423,0.102717664,-0.40127517,0.301560795,0.125445051
NKX6-1,0.324808638,0.163018726,0.083582142,-0.340580885,-0.442702258,0.20963926,0.342069239,-0.450605294,0.048515417,0.369957424,0.281494465,-0.053679144,0.123300434
C1QL2,0.272494075,-0.037938508,0.025701339,-0.041938152,0.059884408,-0.002332942,0.196241702,0.379629471,0.184581188,-0.068077345,0.336782402,0.322421069,0.122232798
PRDM8,0.362903481,0.151064839,0.081202368,0.165263833,0.047151671,-0.023597706,0.173283814,0.026446767,0.233232976,-0.044143857,-0.01734086,0.369472301,0.116133604
IRX2,-0.006406462,0.16316761,0.527596363,0.151413697,0.033071163,0.074076687,-0.058786401,0.249201585,0.074076687,0.276368958,-0.005855907,0.154438961,0.112745192
POU4F2,0.011039246,0.185847448,0.084889155,0.136711289,0.204847096,0.529599558,0.042879239,0.046846088,0.230839471,0.237939304,-0.306233815,-0.070040002,0.110800222
