GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7
HOXD8,4.943776390465862e-274,0.0,0.0,1.0,0.0,0.0,0.0
HOXC10,5.671053962777071e-210,0.0,1.0,0.0,0.0,0.0,0.0
LMX1B,4.2025234864765266e-24,5.774614692828398e-81,0.0,0.0,1.0,1.716170247604104e-30,1.8117859723758685e-73
LBX1,2.910359755347236e-09,7.0348239177206924e-40,0.0,0.0,0.9999999970896418,1.6187603232079116e-24,1.6595974487986392e-58
HOXA7,3.49154845226044e-187,0.0,0.0,1.0,0.0,1.375644e-317,0.0
SOX2,0.9999461343203006,1.4342050646516936e-16,0.0,0.0,0.0,1.898091210364377e-15,5.386567969877638e-05
KCNQ2,1.7131918561909056e-06,2.1935413949981888e-40,0.0,0.0,0.0,0.9999915713799342,6.715428209583825e-06
FOXC1,0.98620795735665,5.122623332268556e-09,0.0,0.0,0.0,0.013792037504074536,1.6651694692541698e-11
SIM2,0.9999999555475664,2.2941553163713268e-23,0.0,0.0,0.0,4.4452433097784715e-08,1.245100737660161e-19
NR2F2,0.9999907775785112,9.666016318502637e-16,0.0,0.0,0.0,9.570639788413459e-15,9.222421475341855e-06
MSX1,0.999975491694529,3.119287514138994e-15,0.0,0.0,0.0,2.4508305466826245e-05,8.205242313676992e-18
VAX1,0.9999937659333668,1.496645561007006e-15,0.0,0.0,0.0,6.234066629574666e-06,2.0864081782969355e-15
PDE2A,3.4221386041827077e-09,7.715734239430215e-17,0.0,0.0,0.0,0.9999999131794335,8.339842837555808e-08
NTN1,0.5881956799693975,0.010752051803012995,0.0,0.0,0.0,0.0579058843516091,0.34314638387598173
ASCL1,0.5204895223751816,0.47682277889544805,0.0,0.0,0.0,0.00268769748535126,1.2440194773659058e-09
HOXB13,3.204649893312323e-33,2.902925339206843e-160,0.0,0.0,1.0,1.7125669283356816e-46,2.411606260198039e-113
POM121L2,1.0,4.175439100937831e-49,0.0,0.0,0.0,2.6040691162071157e-52,2.906404035290572e-17
TFAP2A,0.28428521936116996,1.6206584541229802e-15,0.0,0.0,0.0,0.7157132036013009,1.5770375269371959e-06
FOXF2,0.9954142510123202,2.298913050839182e-12,0.0,0.0,0.0,0.00458565794239572,9.104298581433381e-08
OLIG2,0.9999536794939955,8.302496678900072e-16,0.0,0.0,0.0,4.631536765445577e-05,5.138348852651521e-09
EN2,1.1102178828465966e-27,5.6368610315550625e-130,0.0,0.0,1.0,2.590604727079769e-23,1.6300867499109608e-72
SP8,0.9845333934355986,0.015466528962599722,0.0,0.0,0.0,7.74405531639067e-08,1.6124924932031268e-10
SIX2,0.9996549929947237,4.243448224835326e-07,0.0,0.0,0.0,0.0003438482207704074,7.344396838665736e-07
BCL11B,0.004845695283966818,0.966018256449727,0.0,0.0,0.0,0.0041382041663810525,0.024997844099923585
OLIG1,0.9935088481075456,8.1453302397551905e-19,0.0,0.0,0.0,0.006358644382390756,0.00013250751006387256
LHX4,0.36611835472779697,0.09902785277933013,0.0,0.0,0.0,0.5348012028029797,5.2589689894550275e-05
NFIX,5.534770941505702e-06,1.212464580637054e-27,0.0,0.0,0.0,8.446720873489032e-09,0.9999944567823409
DMRTA2,0.9952872148693153,0.00455196853441472,0.0,0.0,0.0,0.0001608165962675503,2.032415478965235e-15
IGF2BP1,0.006280860862690485,1.2752837549345169e-18,0.0,0.0,0.0,4.801909683145443e-06,0.9937143372276248
CDX2,0.9999999638297339,9.979995032772255e-14,0.0,0.0,0.0,3.6170168042687807e-08,5.0577577862341727e-23
TLX3,0.999778049637726,4.042328886676217e-05,0.0,0.0,0.0,0.00018152707257396017,8.329436195655802e-13
TBX3,0.9999999411604517,9.151350207476024e-15,0.0,0.0,0.0,5.883952943996644e-08,1.1176290150679228e-14
DLX2,0.9997109623180774,5.656639263060719e-14,0.0,0.0,0.0,0.0002890376818676099,2.0788302510287e-21
NKX6-1,0.999999885211753,1.147881956318112e-07,0.0,0.0,0.0,5.0527092284366276e-14,2.288862060135997e-15
C1QL2,0.9945333563296459,9.9951857908036e-05,0.0,0.0,0.0,0.004898577885961022,0.00046811392648525243
PRDM8,0.9991023328943026,3.687325212291141e-05,0.0,0.0,0.0,0.0006109155735391332,0.00024987828003401733
IRX2,0.12048275541382751,0.7860309320186768,0.0,0.0,0.0,0.09275673376198947,0.00072957880550677
POU4F2,0.9999999907392692,1.4322639154824644e-12,0.0,0.0,0.0,9.152508822862935e-09,1.0679009500139011e-10
TBX2,0.9193548227232575,8.85002814904134e-06,0.0,0.0,0.0,0.08063284829186247,3.4789567298895312e-06
PHOX2B,0.9999814562373898,1.854275443137456e-05,0.0,0.0,0.0,1.008178314956222e-09,1.2302635629063165e-16
PRDM6,0.9999831378332747,2.0531363346878426e-06,0.0,0.0,0.0,1.480903038721688e-05,2.007618070529369e-15
FOXD3,0.04333678304567978,0.9553771900340825,0.0,0.0,0.0,0.0011501540144077717,0.00013587290582955827
METAP1D,2.597627586900897e-05,0.9973556324938251,0.0,0.0,0.0,0.0026172043098800996,1.1869204251869329e-06
IRX1,0.9021495339664536,0.048526368965400454,0.0,0.0,0.0,0.04927515610491847,4.8940963227112007e-05
OLIG3,0.9999999834730283,1.6526937825368067e-08,0.0,0.0,0.0,1.494877342412605e-14,2.0064231944093545e-14
EPHA8,0.00035654354443828413,0.0012480683685114266,0.0,0.0,0.0,0.9983746875259671,2.0700561084245836e-05
IRX5,0.46831751208159383,0.0008189964131258078,0.0,0.0,0.0,0.5185847422045677,0.012278749300713515
SIX1,0.9999998764175656,1.191385694825587e-07,0.0,0.0,0.0,4.443568964730928e-09,2.971224663982116e-13
OSR1,0.9737103284374136,0.0208863031403672,0.0,0.0,0.0,0.005396870495290841,6.497926929764937e-06
SLC9A3,0.0004913406052682983,2.5701335178327895e-11,0.0,0.0,0.0,0.9995028542648161,5.805104213980603e-06
FEZF2,0.9707979715536489,0.029192565247217552,0.0,0.0,0.0,9.463198262396984e-06,8.728597897666201e-13
EBF2,0.9999917737546508,8.170497363364664e-06,0.0,0.0,0.0,5.5736400307667253e-08,1.158432534025648e-11
TBX18,0.9999151945511826,1.3739099790654176e-05,0.0,0.0,0.0,4.566235660233052e-06,6.650011336695541e-05
MEIS2,0.0057272575805558425,0.9942705703008309,0.0,0.0,0.0,2.0116840302179217e-06,1.604345835609576e-07
SLC12A5,0.15463450751393182,1.1227607616850062e-07,0.0,0.0,0.0,0.8448981872424518,0.0004671929675410605
PRDM16,2.063457008739179e-14,3.500091715744428e-78,0.0,0.0,0.0,0.9998956272495171,0.00010437275046195818
LHX8,0.7727275779197899,0.2270935314619129,0.0,0.0,0.0,0.00017884208681375258,4.853148184963946e-08
NR2F1,0.9997287332525551,2.482216358991301e-15,0.0,0.0,0.0,1.924073706304169e-12,0.0002712667455182616
OSR2,0.9999740615253694,2.5938473626732043e-05,0.0,0.0,0.0,7.333418895506162e-15,9.954370001114655e-13
GATA4,2.305252978078881e-22,5.494917194604318e-116,0.0,0.0,1.0,9.427325454168232e-64,2.2175636305565397e-85
PRSS16,1.0,2.7027244603822826e-37,0.0,0.0,0.0,2.3915489860054107e-45,2.1216262363039705e-16
TBX1,0.005635598828360253,1.568632815292195e-13,0.0,0.0,0.0,0.9943644011713488,1.328303980441411e-13
POU3F3,0.9999141603994653,1.940970589289163e-08,0.0,0.0,0.0,8.58191738044761e-05,1.0170257202009754e-09
WNT1,0.008834275641881793,0.0003035129913571923,0.0,0.0,0.0,0.9908606199989721,1.5913677887953486e-06
CNTFR,0.9988664683285606,9.742996513569239e-08,0.0,0.0,0.0,0.0011238562479440207,9.577993531421869e-06
BCOR,1.2286590048843607e-08,9.477879861243466e-24,0.0,0.0,0.0,4.956907374667746e-05,0.9999504186396635
TWIST1,0.9989153875485327,5.153501802888491e-13,0.0,0.0,0.0,5.2999099295661574e-08,0.0010845594518541374
VSTM2B,0.05593933351685876,1.4403618368352196e-05,0.0,0.0,0.0,0.943224739860694,0.000821523004080638
EMX1,0.9999999767086261,3.5859673140767776e-10,0.0,0.0,0.0,2.2932735549057056e-08,4.250331063732466e-14
MPPED1,0.000517980574431187,1.1395793926602826e-12,0.0,0.0,0.0,0.9994807539724687,1.2654519598748488e-06
FOXC2,0.41964034897050045,5.97206060009338e-07,0.0,0.0,0.0,0.580167671238453,0.0001913825849856827
VAX2,0.999930980544242,6.330855023456952e-13,0.0,0.0,0.0,6.901931699623448e-05,1.3812705436609648e-10
FEZF1,0.36779081944246345,0.6299629733413934,0.0,0.0,0.0,0.0022384315447177097,7.77567142527766e-06
PAX6,0.9999999999950049,3.703561267628825e-14,0.0,0.0,0.0,4.9595332092423234e-12,1.7297306129819463e-30
EN1,0.9999999999907416,2.2788114019359286e-14,0.0,0.0,0.0,9.235164835782797e-12,5.158882534402148e-33
TCHH,0.0029908743630906657,0.9970037041828093,0.0,0.0,0.0,5.412923262986088e-06,8.530837456963093e-09
HOXC4,3.744391111813325e-233,0.0,1.0,0.0,0.0,0.0,0.0
SHH,0.9186181792180445,0.0025782793821011,0.0,0.0,0.0,0.0788028773717522,6.640281020932015e-07
IHH,0.09948538839940582,2.6811783349245084e-09,0.0,0.0,0.0,0.9001369999513694,0.00037760896804607156
LHX3,0.017875538977975038,5.693932980389095e-06,0.0,0.0,0.0,0.9821181812087749,5.858802709216205e-07
BARX1,0.9786806679303975,2.2106967574375315e-08,0.0,0.0,0.0,0.021319309962633145,3.182759628444377e-15
BMP4,0.02007529855131537,0.9283673031757971,0.0,0.0,0.0,0.03772002109441498,0.013837377178471113
SALL1,0.910152542811761,6.349051362977857e-08,0.0,0.0,0.0,0.06393105659013489,0.02591633710759113
ROBO3,0.9994501257839855,0.0004733854163684889,0.0,0.0,0.0,7.633691459921287e-05,1.5188504543580882e-07
KCNA1,0.7586200007027297,0.23470375779181704,0.0,0.0,0.0,0.001915249656553831,0.004760991848899626
C1QA,1.832526793505847e-07,2.7237542493767634e-20,0.0,0.0,0.0,0.0741006953492994,0.9258991213980224
PLXNA4,0.8082760798065144,0.0036072127585000152,0.0,0.0,0.0,0.17953938823561025,0.008577319199374185
NR5A1,0.0002105760469765833,6.343804500081877e-10,0.0,0.0,0.0,0.9992762967376585,0.000513126580984294
HOXB6,6.47378593976838e-210,0.0,0.0,1.0,0.0,3.329415224558853e-250,0.0
WNT10B,0.01734280674853139,0.001133363634011252,0.0,0.0,0.0,0.9814984342515574,2.539536590090273e-05
PPIE,1.8114158344046962e-08,1.548143474773803e-36,0.0,0.0,0.0,3.405999500539759e-07,0.9999996412858931
LMX1A,0.960652505717494,0.03934689639886541,0.0,0.0,0.0,5.285642916013837e-07,6.93193506572842e-08
NEUROG3,0.9999362913089349,7.0922665088942e-11,0.0,0.0,0.0,6.370862014235761e-05,1.2962091525077364e-17
NTRK1,3.430979815187883e-05,1.77914689963407e-16,0.0,0.0,0.0,0.9998958321949726,6.985800687460772e-05
TBX15,0.9999999999881801,2.9437595430792547e-18,0.0,0.0,0.0,1.1818496478946892e-11,1.3518577752547397e-39
ZIC5,0.9999930900439434,3.5617337810664814e-25,0.0,0.0,0.0,6.90903874942954e-06,9.173076392342439e-10
GRIK3,0.1769262204171147,0.045370946787092574,0.0,0.0,0.0,0.7770256700004262,0.0006771627953662198
ECEL1,4.769700348381147e-06,1.0193287045333378e-14,0.0,0.0,0.0,0.9997860532200621,0.00020917707957810117
PAX5,0.999999970572603,4.053703836792995e-27,0.0,0.0,0.0,2.942739987318322e-08,4.183587850699217e-27
NKX2-2,0.999960630151956,3.7725894368921406e-05,0.0,0.0,0.0,1.6439536733921e-06,3.369962821567566e-17
MNX1,0.9999003241093288,6.518712945324105e-10,0.0,0.0,0.0,9.967523880128145e-05,1.968410356356979e-18
PHF21B,0.000337878580262798,1.3226045794630967e-06,0.0,0.0,0.0,0.9995016647435939,0.000159134071562114
MEIS1,0.12838427224722782,0.8138651479925295,0.0,0.0,0.0,0.0028074934839288543,0.05494308627631544
HOXC5,3.744391111813325e-233,0.0,1.0,0.0,0.0,0.0,0.0
INHBB,0.0003654455833704046,2.408761650472961e-11,0.0,0.0,0.0,0.9996167376393839,1.7816753157185842e-05
NEUROD2,0.9999719755642926,1.0764212508435445e-11,0.0,0.0,0.0,2.8024424944111588e-05,3.552810092295825e-21
BHLHE22,0.07515717029733793,0.9124432229809174,0.0,0.0,0.0,0.012163122977628548,0.0002364837441169764
