	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7
Adult_locomotory_behavior	1	1	1	0.0051	1	1	1
Anatomical_structure_development	1.69e-37	2.03e-12	1	1	1	8.95e-07	1
Anatomical_structure_formation_involved_in_morphogenesis	9.21e-12	4.53e-05	1	1	1	0.00096	1
Anatomical_structure_morphogenesis	2.79e-26	3.64e-10	1	7.13e-09	1	1.49e-05	1
Animal_organ_development	1.79e-39	3.91e-09	1	1.36e-05	1	7.39e-08	1
Animal_organ_morphogenesis	1.59e-27	2e-06	1	9.94e-09	1	7.39e-08	1
Anterior/posterior_axis_specification	0.001	1	1	1	1	1	1
Anterior/posterior_axon_guidance	0.00079	1	1	1	1	1	1
Anterior/posterior_pattern_specification	1.12e-11	0.00093	3.39e-10	1.09e-14	1	1	1
Aorta_development	1	1	1	1	1	0.006	1
Artery_development	0.0007	1	1	1	1	0.006	1
Artery_morphogenesis	0.0016	1	1	1	1	1	1
Astrocyte_differentiation	0.0012	1	1	1	1	1	1
Atrioventricular_canal_development	0.0031	1	1	1	1	1	1
Autonomic_nervous_system_development	0.00042	1	1	1	1	1	1
Axis_specification	6.77e-05	1	1	1	1	1	1
Axon_development	8.41e-12	1	1	1	1	1	1
Axon_guidance	4.38e-09	0.00043	1	1	1	0.0043	1
Axonogenesis	1.55e-11	0.001	1	1	1	1	1
Biological_regulation	1	1	1	1	1	0.00038	1
Blood_circulation	1	1	1	1	1	0.00092	1
Blood_vessel_development	0.00017	1	1	1	1	1	1
Bone_morphogenesis	0.00094	1	1	1	1	1	1
Brain_development	4.14e-26	0.00047	1	1	1	1	1
Branching_involved_in_ureteric_bud_morphogenesis	0.00033	0.0066	1	1	1	1	1
Branching_morphogenesis_of_an_epithelial_tube	4.46e-06	1	1	1	1	1	1
Camera-type_eye_development	4.34e-11	0.0017	1	1	1	1	1
Camera-type_eye_morphogenesis	3.87e-05	0.0033	1	1	1	1	1
Cardiac_cell_fate_commitment	0.0036	1	1	1	1	1	1
Cardiac_chamber_development	0.0017	1	1	1	1	1	1
Cardiac_chamber_morphogenesis	0.0026	1	1	1	1	1	1
Cardiac_conduction_system_development	0.0028	1	1	1	1	1	1
Cardiac_jelly_development	0.0097	1	1	1	1	1	1
Cardiac_muscle_tissue_development	0.00033	1	1	1	1	1	1
Cardiac_ventricle_development	0.003	1	1	1	1	1	1
Cartilage_development	0.00021	1	1	1	1	1	1
Cation_transmembrane_transport	1	1	1	1	1	6.56e-05	1
Cation_transport	1	1	1	1	1	0.00016	1
Cell-cell_signaling	0.0068	1	1	1	1	2.65e-05	1
Cell_activation	1	1	1	1	1	0.0064	1
Cell_communication	1	1	1	1	1	0.00017	1
Cell_development	1.31e-16	5.71e-08	1	1	1	0.00053	1
Cell_differentiation	1.95e-39	3.95e-09	1	1	1	1.29e-05	1
Cell_differentiation_in_spinal_cord	2.49e-12	1	1	1	1	1	1
Cell_differentiation_involved_in_metanephros_development	0.00025	1	1	1	1	1	1
Cell_fate_commitment	3.13e-34	1	1	1	1	0.00038	1
Cell_fate_determination	2.65e-11	1	1	1	1	1	1
Cell_fate_specification	1.83e-28	1	1	1	1	1	1
Cell_migration	1.04e-09	1	1	1	1	1	1
Cell_morphogenesis	2.52e-09	0.0027	1	1	1	1	1
Cell_morphogenesis_involved_in_differentiation	1	0.0017	1	1	1	1	1
Cell_population_proliferation	1.56e-15	0.0066	1	1	1	1	1
Cell_surface_receptor_signaling_pathway_involved_in_cell-cell_signaling	1	1	1	1	1	0.0086	1
Cellular_component_morphogenesis	1	0.0014	1	1	1	1	1
Cellular_process	0.0034	1	1	1	1	1	1
Cellular_response_to_chemical_stimulus	1	1	1	1	1	0.0055	1
Cellular_response_to_endogenous_stimulus	1	1	1	1	1	0.002	1
Cellular_response_to_organic_substance	1	1	1	1	1	0.0024	1
Cellular_response_to_oxygen-containing_compound	1	0.0064	1	1	1	1	1
Central_nervous_system_development	3.37e-37	7.17e-05	1	1	1	0.0025	1
Central_nervous_system_neuron_development	3.63e-05	1	1	1	1	1	1
Central_nervous_system_neuron_differentiation	2.37e-22	1	1	1	1	1	1
Cerebellum_development	0.00011	1	1	1	1	1	1
Cerebral_cortex_GABAergic_interneuron_differentiation	0.0021	1	1	1	1	1	1
Cerebral_cortex_development	2.24e-06	1	1	1	1	1	1
Cerebral_cortex_neuron_differentiation	4e-05	1	1	1	1	1	1
Cerebral_cortex_radially_oriented_cell_migration	0.0024	1	1	1	1	1	1
Cerebral_cortex_regionalization	0.00079	1	1	1	1	1	1
Chemical_synaptic_transmission	1	1	1	1	1	6.56e-05	1
Chemotaxis	1	0.0063	1	1	1	1	1
Chordate_embryonic_development	1.85e-16	0.0012	1	1	1	1	1
Circulatory_system_development	3.26e-08	0.00018	1	1	1	0.0014	1
Columnar/cuboidal_epithelial_cell_development	0.0039	1	1	1	1	1	1
Columnar/cuboidal_epithelial_cell_differentiation	4.44e-08	0.0056	1	1	1	1	1
Commitment_of_neuronal_cell_to_specific_neuron_type_in_forebrain	0.00056	1	1	1	1	1	1
Connective_tissue_development	2.91e-06	1	1	1	1	1	1
Cranial_nerve_development	3.13e-06	1	1	1	1	1	1
Dentate_gyrus_development	0.005	1	1	1	1	1	1
Detection_of_glucose	0.0097	1	1	1	1	1	1
Developmental_growth_involved_in_morphogenesis	0.0034	1	1	1	1	1	1
Developmental_process	1	8.98e-11	1	1	1	2.21e-06	1
Developmental_process_involved_in_reproduction	0.00037	1	1	1	1	1	1
Diencephalon_development	1.88e-05	1	1	1	1	1	1
Digestive_system_development	2.02e-10	1	1	1	1	1	1
Digestive_tract_development	2.12e-08	1	1	1	1	1	1
Dopaminergic_neuron_differentiation	4.24e-06	1	1	1	1	0.0013	1
Dorsal/ventral_neural_tube_patterning	0.005	1	1	1	1	1	1
Dorsal/ventral_pattern_formation	5.67e-16	1	1	1	1	1	1
Dorsal_spinal_cord_interneuron_axon_guidance	0.0062	1	1	1	1	1	1
Ear_development	7.56e-15	1	1	1	1	1	1
Ear_morphogenesis	7.4e-15	1	1	1	1	1	1
Ectoderm_development	0.0074	1	1	1	1	1	1
Ectodermal_placode_formation	0.0026	1	1	1	1	1	1
Embryo_development	1.1e-25	0.00023	1	2.65e-10	0.0019	0.003	1
Embryonic_camera-type_eye_morphogenesis	0.00083	1	1	1	1	1	1
Embryonic_cranial_skeleton_morphogenesis	3.5e-08	1	1	1	1	0.00038	1
Embryonic_digestive_tract_development	0.0018	1	1	1	1	1	1
Embryonic_digit_morphogenesis	6.24e-09	1	1	1	1	1	1
Embryonic_epithelial_tube_formation	1	0.00013	1	1	1	1	1
Embryonic_eye_morphogenesis	0.00011	1	1	1	1	1	1
Embryonic_forelimb_morphogenesis	3.06e-09	1	1	1	1	1	1
Embryonic_heart_tube_development	0.00037	1	1	1	1	1	1
Embryonic_hindlimb_morphogenesis	4.85e-08	1	1	1	1	1	1
Embryonic_limb_morphogenesis	5.44e-10	1	1	5.16e-06	1	1	1
Embryonic_morphogenesis	3.66e-23	0.0011	1	1.24e-10	1	0.00059	1
Embryonic_organ_development	1.44e-26	0.00073	1	1	0.0014	0.002	1
Embryonic_organ_morphogenesis	1.43e-22	0.0081	1	1	0.0057	0.00033	1
Embryonic_pattern_specification	0.0028	1	1	1	1	1	1
Embryonic_skeletal_joint_morphogenesis	0.0021	1	1	1	1	1	1
Embryonic_skeletal_limb_joint_morphogenesis	0.0097	1	1	1	1	1	1
Embryonic_skeletal_system_development	3.95e-16	1	0.00022	1	1	0.00096	1
Embryonic_skeletal_system_morphogenesis	9e-14	1	1	1.63e-10	1	0.0012	1
Endocardial_cushion_formation	0.00056	1	1	1	1	1	1
Endocardial_cushion_morphogenesis	6.53e-06	1	1	1	1	1	1
Endocrine_pancreas_development	1.09e-05	0.0051	1	1	1	1	1
Endocrine_system_development	7.3e-11	1	1	1	1	1	1
Epidermis_development	1	0.0042	1	1	1	1	1
Epithelial-mesenchymal_signaling_involved_in_prostate_gland_development	0.0062	1	1	1	1	1	1
Epithelial_cell_development	1	0.00043	1	1	1	1	1
Epithelial_cell_differentiation	2.41e-06	0.00025	1	1	1	2.3e-05	1
Epithelial_cell_proliferation	0.0018	0.0034	1	1	1	1	1
Epithelial_tube_formation	1	3.86e-05	1	1	1	1	1
Epithelial_tube_morphogenesis	1.35e-06	0.00034	1	1	1	1	1
Epithelium_development	3.28e-21	2.36e-06	1	1	1	2.05e-06	1
Exocrine_system_development	0.00022	1	1	1	1	1	1
Eye_development	3.57e-12	0.00051	1	1	1	1	1
Eye_morphogenesis	1.65e-05	1	1	1	1	1	1
Fat_cell_differentiation	1	1	1	1	1	0.003	1
Female_sex_differentiation	0.0018	1	1	1	1	1	1
Forebrain_development	3.12e-22	0.0056	1	1	1	1	1
Forebrain_generation_of_neurons	1.86e-06	1	1	1	1	1	1
Forebrain_neuron_differentiation	1.09e-05	1	1	1	1	1	1
Forebrain_regionalization	7.62e-07	1	1	1	1	1	1
Forelimb_morphogenesis	3.48e-10	1	1	1	1	1	1
GABAergic_neuron_differentiation	0.00018	1	1	1	1	1	1
Ganglion_development	0.00021	1	1	1	1	1	1
Generation_of_neurons	4.64e-33	2.02e-05	1	1	1	1	1
Genitalia_development	0.0057	1	1	1	1	1	1
Gland_development	8.86e-08	1	1	0.00099	1	0.0038	1
Gland_morphogenesis	0.0011	0.0054	1	1	1	1	1
Glandular_epithelial_cell_differentiation	0.00011	0.0042	1	1	1	1	1
Glial_cell_differentiation	3.48e-10	1	1	1	1	1	1
Glial_cell_fate_commitment	1.62e-06	1	1	1	1	1	1
Gliogenesis	5.97e-12	1	1	1	1	1	1
Glossopharyngeal_nerve_morphogenesis	1	1	1	0.0015	1	1	1
Habenula_development	0.0097	1	1	1	1	1	1
Head_development	2.28e-27	5.21e-05	1	1	1	0.0043	1
Heart_development	4.8e-07	0.0015	1	1	1	0.003	1
Heart_morphogenesis	7.75e-06	0.0023	1	1	1	1	1
Hindbrain_development	7.2e-09	1	1	1	1	1	1
Hindlimb_morphogenesis	5.58e-09	1	1	1	1	1	1
Hippocampus_development	0.00039	1	1	1	1	1	1
