,GSM00001
HOXD8,0.762
HOXC10,0.421
LMX1B,0.31
LBX1,0.226
HOXA7,0.225
SOX2,0.216
KCNQ2,0.216
FOXC1,0.202
SIM2,0.196
NR2F2,0.191
MSX1,0.191
VAX1,0.186
PDE2A,0.169
NTN1,0.168
ASCL1,0.163
HOXB13,0.162
POM121L2,0.16
TFAP2A,0.151
FOXF2,0.15
OLIG2,0.147
EN2,0.144
SP8,0.144
SIX2,0.142
BCL11B,0.142
OLIG1,0.141
LHX4,0.141
NFIX,0.136
DMRTA2,0.134
IGF2BP1,0.133
CDX2,0.132
TLX3,0.131
TBX3,0.127
DLX2,0.125
NKX6-1,0.123
C1QL2,0.122
PRDM8,0.116
IRX2,0.113
POU4F2,0.111
TBX2,0.109
PHOX2B,0.108
PRDM6,0.108
FOXD3,0.106
METAP1D,0.105
IRX1,0.103
NKX2-9,0.102
OLIG3,0.0978
EPHA8,0.0958
IRX5,0.0935
SIX1,0.091
OSR1,0.0905
SLC9A3,0.0881
FEZF2,0.0879
EBF2,0.0877
TBX18,0.0872
MEIS2,0.0868
SLC12A5,0.0838
PRDM16,0.0838
LHX8,0.0833
NR2F1,0.0801
OSR2,0.0798
GATA4,0.0768
PRSS16,0.0751
TBX1,0.0745
POU3F3,0.0716
WNT1,0.0716
CNTFR,0.0712
BCOR,0.071
TWIST1,0.0707
VSTM2B,0.0684
EMX1,0.0678
MPPED1,0.0672
FOXC2,0.067
VAX2,0.0668
FEZF1,0.0654
PAX6,0.0652
EN1,0.0642
TCHH,0.0637
HOXC4,0.0623
SHH,0.0622
IHH,0.0619
LHX3,0.0614
BARX1,0.0609
BMP4,0.0601
SALL1,0.06
ROBO3,0.0589
KCNA1,0.0588
C1QA,0.0583
PLXNA4,0.0582
NR5A1,0.0574
HOXB6,0.0572
CAR4,0.0569
WNT10B,0.0568
PPIE,0.0555
LMX1A,0.0554
NEUROG3,0.0549
NTRK1,0.0545
TBX15,0.0538
ZIC5,0.0538
GRIK3,0.0527
ECEL1,0.0524
PAX5,0.0517
NKX2-2,0.0515
MNX1,0.0514
PHF21B,0.0506
MEIS1,0.0502
HOXC5,0.0496
INHBB,0.0495
NEUROD2,0.0492
BHLHE22,0.0484
HOXC8,0.0478
SIM1,0.0465
FAM172A,0.0449
BUB3,0.0436
ISL1,0.042
IGSF21,0.0386
PAX1,0.0386
EXOC6,0.0377
BCL11A,0.0375
SLC17A7,0.0375
TBX20,0.0373
FOXA1,0.0369
GSC,0.0368
ALX4,0.0367
IGF2BP3,0.0353
THBD,0.0353
CDC20B,0.0349
FOXG1,0.0347
PDX1,0.0332
ATOH1,0.032
BMI1,0.0318
DOK7,0.0314
SIX6,0.0313
HAPLN2,0.0312
RGMA,0.0302
CBX8,0.0298
EPS8L1,0.0297
VSX1,0.0295
DNAJC22,0.029
FOXD1,0.0289
MT2,0.0281
RIPK3,0.028
GABRD,0.0272
POU2F3,0.0269
SLFN3,0.0263
COL2A1,0.026
ZFP503,0.0246
NKD2,0.0235
