GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
HOXD8,0.0,0.0,1.0,0.0,5.761528313031179e-177,0.0,0.0,0.0
HOXC10,0.0,0.0,4.130679626416726e-170,0.0,3.3488518989999954e-213,0.0,1.0,0.0
LMX1B,0.0,5.718045074310913e-258,1.5476965898242406e-41,0.0,1.0,9.052653140979218e-63,0.0,0.0
LBX1,0.0,1.2724768702987741e-196,3.955473705544164e-07,0.0,0.9999996044526328,2.5998411542125763e-52,0.0,0.0
HOXA7,0.0,0.0,1.0,0.0,5.777817565106367e-157,0.0,0.0,0.0
SOX2,0.0,4.5862167207441965e-84,3.4043813881686003e-65,0.0,1.0,5.28598595920486e-22,0.0,0.0
KCNQ2,0.0,3.085902831084732e-146,4.2207886286774533e-67,0.0,1.0,2.0226427743200766e-24,0.0,0.0
FOXC1,0.0,1.884199205760259e-55,1.121684409814833e-62,0.0,1.0,3.271785225274219e-19,0.0,0.0
SIM2,0.0,1.7016911085218898e-144,1.5605277349697106e-24,0.0,1.0,1.365291221327264e-25,0.0,0.0
NR2F2,0.0,1.979521889587502e-77,1.204208670408557e-46,0.0,1.0,4.950928494913118e-54,0.0,0.0
MSX1,0.0,1.1371126914244472e-84,1.2969886987203283e-72,0.0,1.0,4.374245991821133e-18,0.0,0.0
VAX1,0.0,1.719237257355865e-113,3.678436632871662e-40,0.0,1.0,3.193970643880771e-25,0.0,0.0
PDE2A,0.0,3.4586455838296664e-40,1.9236168968237694e-75,9.137654892031563e-290,0.9999621257814294,3.7874218570598e-05,0.0,0.0
NTN1,0.0,1.0232644062002298e-17,2.0059630609212817e-64,4.442697712135885e-197,0.9999362001647253,6.379983527603947e-05,0.0,0.0
ASCL1,0.0,7.108980278767276e-23,2.039409431776011e-65,0.0,0.9996068412716247,0.00039315872837432456,0.0,0.0
HOXB13,0.0,0.0,1.0,0.0,6.976522493639963e-29,4.317828729153759e-224,0.0,0.0
POM121L2,0.0,6.262534302559472e-262,2.863558184812542e-113,0.0,1.0,4.095781791203251e-95,0.0,0.0
TFAP2A,0.0,3.619727460437503e-67,5.0987247999632536e-36,0.0,1.0,4.7176588890392146e-21,0.0,0.0
FOXF2,0.0,4.44759913021236e-61,4.136491756532919e-66,0.0,0.9999999999999964,4.2697211667461705e-15,0.0,0.0
OLIG2,0.0,1.8638509721004888e-87,2.4789758530124392e-40,0.0,1.0,4.37189625566053e-19,0.0,0.0
EN2,0.0,0.0,1.7020688576296073e-26,0.0,1.0,5.638030944719664e-120,0.0,0.0
SP8,0.0,4.6550623055486627e-32,4.5268025931175097e-72,0.0,0.9999999928111905,7.188807755257302e-09,0.0,0.0
SIX2,0.0,5.97688714385286e-67,7.543486427461485e-62,0.0,1.0,3.4517032272254376e-18,0.0,0.0
BCL11B,0.0,8.722617129402229e-33,1.4822478364217888e-62,1.4583566262225812e-266,0.9999907515774595,9.24842254155942e-06,0.0,0.0
OLIG1,0.0,1.4723134097476285e-57,6.979034881265439e-40,0.0,0.9999999999999005,9.970835305108095e-14,0.0,0.0
LHX4,0.0,1.2627917934944358e-29,7.069101278337869e-58,0.0,0.9999983126694392,1.6873305595210804e-06,0.0,0.0
NFIX,0.0,7.82642809750413e-95,4.7659846504224624e-107,0.0,1.0,2.2472097697148148e-91,0.0,0.0
DMRTA2,0.0,3.009281412873434e-30,6.958885204787951e-69,0.0,0.9999995996182831,4.0038171523626795e-07,0.0,0.0
IGF2BP1,0.0,5.0471948871051393e-76,5.1863558924169434e-99,0.0,1.0,2.7389999165894946e-20,0.0,0.0
CDX2,0.0,3.182086388796574e-91,3.466155239727726e-44,0.0,1.0,1.7460532867057887e-22,0.0,0.0
TLX3,0.0,1.303777989288608e-57,8.18585646072924e-49,0.0,0.9999999999998579,1.41221902880429e-13,0.0,0.0
TBX3,0.0,3.6169722310894535e-73,2.3883282130193688e-40,0.0,1.0,6.383200344711661e-30,0.0,0.0
DLX2,0.0,1.9300423672540635e-83,6.30274461332902e-86,0.0,1.0,1.5972732165167577e-27,0.0,0.0
NKX6-1,0.0,7.247194634337966e-62,4.727306069528692e-52,0.0,0.9999999999999503,4.8474349860585187e-14,0.0,0.0
C1QL2,0.0,2.207277086722546e-42,3.3580750729295314e-53,0.0,0.9999999946181397,5.3818605433599375e-09,0.0,0.0
PRDM8,0.0,6.90838635168073e-35,4.2151754803270655e-67,0.0,1.0,2.4824911178782157e-18,0.0,0.0
IRX2,0.0,5.321244035168342e-20,4.7625596000602325e-74,1.5774472152940334e-220,0.9989955624909496,0.0010044375090491873,0.0,0.0
POU4F2,0.0,3.658542340334831e-62,1.351071253503708e-53,0.0,1.0,3.359654454862387e-16,0.0,0.0
TBX2,0.0,2.3882111079097368e-30,1.0825081296494066e-93,0.0,0.9999999998405826,1.5941596005453868e-10,0.0,0.0
PHOX2B,0.0,4.876400937398959e-59,1.0762844477305263e-44,0.0,0.9999999999957438,4.255511160998764e-12,0.0,0.0
PRDM6,0.0,5.3357241690278696e-30,2.9957326971099185e-69,0.0,0.999998925923117,1.0740768845050453e-06,0.0,0.0
FOXD3,0.0,1.9047195297884447e-17,1.3535488259591816e-61,8.888716526630136e-308,0.9989614763686537,0.0010385236313459204,0.0,0.0
METAP1D,0.0,0.009914851422987267,6.6615794435285955e-105,0.9900527473473322,2.818598712218967e-08,3.2373043692924445e-05,0.0,3.066866523661979e-19
IRX1,0.0,2.385744342244215e-33,4.780769339515047e-66,0.0,0.9999999794740975,2.0525903662545452e-08,0.0,0.0
OLIG3,0.0,4.665153382684124e-70,1.5752052739362195e-48,0.0,1.0,4.511988727762587e-16,0.0,0.0
EPHA8,0.0,1.0082749333246688e-21,5.846131118771662e-65,2.4207372894264004e-258,0.8929125044727012,0.10708749552729908,0.0,0.0
IRX5,0.0,5.214587520153462e-24,7.447469230089191e-77,1.7607428544237507e-261,0.9999999065908945,9.3409104313085e-08,0.0,0.0
SIX1,0.0,1.7158612568402716e-54,4.974713988465729e-68,0.0,1.0,2.812633197024313e-19,0.0,0.0
OSR1,0.0,1.3149597497146153e-21,5.449824745878264e-84,4.434043136221508e-299,0.999991002181866,8.99781813251499e-06,0.0,0.0
SLC9A3,0.0,3.870595501489369e-54,3.325908777057911e-61,0.0,0.9999999787394496,2.1260548851844967e-08,0.0,0.0
FEZF2,0.0,8.827452586015154e-41,2.497360993825748e-47,0.0,0.9999999999443432,5.5655463253331245e-11,0.0,0.0
EBF2,0.0,1.6762155731193313e-61,1.2483098538209102e-55,0.0,1.0,1.458950987606513e-15,0.0,0.0
TBX18,0.0,1.1471673785812246e-36,1.5401716902930102e-73,0.0,0.9998933201160037,0.00010667988399736224,0.0,0.0
MEIS2,0.0,1.4181215937368346e-09,3.491948458467241e-83,3.181851298797509e-164,0.9999665021820711,3.349639980804502e-05,0.0,0.0
SLC12A5,0.0,1.0522899038863891e-51,1.4463271935331576e-41,0.0,0.9999993459377529,6.540622465936648e-07,0.0,0.0
PRDM16,0.0,1.659526511657442e-202,7.053215957408873e-92,0.0,1.0,1.9245211295569625e-24,0.0,0.0
LHX8,0.0,1.1710444902479143e-19,3.2585580104888065e-73,0.0,0.9914515396848282,0.008548460315171322,0.0,0.0
NR2F1,0.0,1.5724526546138186e-57,8.289462723924684e-83,0.0,1.0,8.228727468875648e-26,0.0,0.0
OSR2,0.0,2.3586306428426428e-39,1.0535922952152812e-68,0.0,1.0,2.0855727444593704e-17,0.0,0.0
GATA4,0.0,0.0,1.0,0.0,2.687685350289196e-15,1.0219329109806878e-104,0.0,0.0
PRSS16,0.0,3.358038730665152e-228,1.1283004066741016e-57,0.0,1.0,4.660500624538415e-89,0.0,0.0
TBX1,0.0,1.1730838065429193e-53,2.293488305232562e-81,0.0,0.9999999999999645,3.6935940833320516e-14,0.0,0.0
POU3F3,0.0,3.50400925191931e-41,9.383739140103605e-72,0.0,0.9999999874107105,1.2589288035060927e-08,0.0,0.0
WNT1,0.0,4.8057286621034706e-37,4.793257283850334e-60,0.0,0.9999999429278733,5.707212581939458e-08,0.0,0.0
CNTFR,0.0,1.6705547969347318e-36,1.1627163843344946e-83,0.0,0.999998509898484,1.4901015142971581e-06,0.0,0.0
BCOR,0.0,1.3948514511478588e-61,2.5266561482338118e-85,1.8554029875141704e-142,8.107760176744796e-06,0.9999918922398249,0.0,0.0
TWIST1,0.0,1.4138017795199658e-56,2.0942487854128175e-73,0.0,0.9999999999888196,1.1182047707688645e-11,0.0,0.0
VSTM2B,0.0,3.7592108154263934e-30,2.842423411360469e-73,7.4587229e-316,0.9990071155018435,0.0009928844981568967,0.0,0.0
EMX1,0.0,3.530194408840753e-72,6.12830628701434e-42,0.0,1.0,3.268799914125121e-20,0.0,0.0
MPPED1,0.0,2.8313141163134763e-58,2.723624565725002e-72,0.0,0.9999999999360689,6.393207980044898e-11,0.0,0.0
FOXC2,0.0,4.4051422588926856e-42,9.230485978227517e-74,0.0,0.9999999999999005,1.0116010557864344e-13,0.0,0.0
VAX2,0.0,4.0079853978059837e-72,4.126319417397772e-50,0.0,1.0,1.9867759649266224e-25,0.0,0.0
FEZF1,0.0,8.280925572123774e-22,2.733457408393402e-64,0.0,0.962842043823106,0.0371579561768926,0.0,0.0
PAX6,0.0,1.9669269338405792e-134,1.3954040295965886e-43,0.0,1.0,2.0442744539061894e-35,0.0,0.0
EN1,0.0,9.771903288810606e-127,2.3783887494607003e-50,0.0,1.0,9.039983795833253e-34,0.0,0.0
TCHH,0.0,7.732830352269082e-22,6.960448087260797e-60,0.0,0.9981259554117483,0.0018740445882506984,0.0,0.0
HOXC4,0.0,0.0,1.6283342019416117e-248,0.0,1.0183688714589273e-275,0.0,1.0,0.0
SHH,0.0,1.271224208158727e-43,1.0328230200019962e-62,0.0,0.9999982987605922,1.7012394062788063e-06,0.0,0.0
IHH,0.0,1.6905640404670417e-55,8.431421652752285e-26,0.0,0.9999999998887041,1.1129692630861408e-10,0.0,0.0
LHX3,0.0,4.982197007061127e-31,6.149114863910156e-73,0.0,0.9999765981632419,2.340183675936485e-05,0.0,0.0
BARX1,0.0,1.540915566096802e-56,1.931247941744844e-65,0.0,0.9999999999998934,1.0600280971490238e-13,0.0,0.0
BMP4,0.0,8.125293472180802e-09,1.1524714599088865e-65,3.413002938281613e-110,0.9703022576531142,0.029697734221592286,0.0,0.0
SALL1,0.0,7.405722192251498e-28,4.236502433265665e-90,2.1374829777e-314,0.9999802070939479,1.9792906051894606e-05,0.0,0.0
ROBO3,0.0,2.625705475009402e-39,4.8102608579502494e-48,0.0,0.9999997370257486,2.629742513720489e-07,0.0,0.0
KCNA1,0.0,6.804232527810569e-21,7.894845679131628e-55,1.8739636958764812e-293,0.9247692001073249,0.07523079989267659,0.0,0.0
C1QA,0.0,9.084124274725984e-89,4.811740637289206e-43,0.0,1.0,1.1330943108949348e-17,0.0,0.0
PLXNA4,0.0,1.084065869341832e-14,1.4322658831084252e-91,1.058175763324477e-212,0.9648880937178796,0.03511190628211117,0.0,0.0
NR5A1,0.0,1.6057804584989247e-36,4.852208657253064e-61,0.0,0.9999978243289689,2.1756710320819497e-06,0.0,0.0
HOXB6,0.0,0.0,1.0,0.0,3.2603394452301594e-143,0.0,0.0,0.0
WNT10B,0.0,4.2261216643989196e-32,3.8487154970419965e-59,0.0,0.9999995570662805,4.4293372125069783e-07,0.0,0.0
PPIE,0.0,3.1056490487691175e-92,1.2775306572763416e-49,0.0,1.0,1.4476317815014608e-69,0.0,0.0
LMX1A,0.0,3.381637969471488e-33,1.457139980469341e-52,0.0,0.9999999414319926,5.856800677029324e-08,0.0,0.0
NEUROG3,0.0,7.15851789587155e-63,2.4281368177765607e-29,0.0,0.9999999999982165,1.784879971831614e-12,0.0,0.0
NTRK1,0.0,1.8207349104139764e-38,4.438269759762585e-84,2.187387357184167e-257,1.0,3.0935853088344245e-17,0.0,0.0
TBX15,0.0,6.615668239805953e-115,1.1355121945048762e-70,0.0,1.0,4.353521354070403e-40,0.0,0.0
ZIC5,0.0,3.453570851394684e-114,1.2085900153810796e-50,0.0,1.0,8.302323777313861e-32,0.0,0.0
GRIK3,0.0,8.3032159247979e-30,1.0620659912187297e-71,1.295381858466512e-308,0.9991377340445107,0.0008622659554899595,0.0,0.0
ECEL1,0.0,8.833949763979071e-58,1.9232511551004915e-48,0.0,0.9999998256123998,1.743876003201608e-07,0.0,0.0
PAX5,0.0,9.590805434378858e-164,2.2304539911360286e-13,0.0,0.9999999999997797,2.4276418406445633e-39,0.0,0.0
NKX2-2,0.0,1.05365036128584e-59,3.701304901219024e-51,0.0,0.9999999999883009,1.1700621123891308e-11,0.0,0.0
MNX1,0.0,5.159155058437993e-80,1.7613918076377465e-40,0.0,1.0,3.684420829451558e-21,0.0,0.0
PHF21B,0.0,6.282561180160653e-35,6.748532048139295e-62,6.564140222687145e-294,0.9999923313883538,7.668611646291776e-06,0.0,0.0
MEIS1,0.0,5.33009440578163e-09,8.091129700862158e-80,2.250961994853221e-113,0.999999450948996,5.43720909591848e-07,0.0,0.0
HOXC5,0.0,0.0,1.6283342019416117e-248,0.0,1.0183688714589273e-275,0.0,1.0,0.0
INHBB,0.0,3.2198000460078937e-35,1.0894339449791392e-66,3.0702790117339314e-296,0.99999259571939,7.4042806112460805e-06,0.0,0.0
NEUROD2,0.0,1.026282681024588e-62,3.1047780685388524e-73,0.0,1.0,5.614114505549244e-16,0.0,0.0
BHLHE22,0.0,2.327326163594067e-10,3.850937018006659e-74,8.484589834723788e-178,0.09665938586803503,0.9033406138992333,0.0,0.0
HOXC8,0.0,0.0,1.6548873206217348e-238,0.0,2.041255403706049e-255,0.0,1.0,0.0
SIM1,0.0,8.167468526139225e-80,1.0202410181712064e-51,0.0,1.0,3.483270619699915e-22,0.0,0.0
FAM172A,2.27e-322,0.000328798009840644,5.64906874595308e-110,0.9996705651138248,5.651017777927434e-10,5.636766479519123e-07,0.0,7.263458452512905e-08
BUB3,0.0,9.243800130718872e-61,2.837013757751814e-52,0.0,0.9999999999999432,5.769414872336373e-14,0.0,0.0
ISL1,0.0,2.651830333108125e-38,6.124570027456362e-57,0.0,0.9999999732509085,2.6749093090330915e-08,0.0,0.0
IGSF21,0.0,4.136195546027896e-59,5.8330942230885187e-67,0.0,0.9999999681048918,3.189510697305319e-08,0.0,0.0
PAX1,0.0,1.092551524158415e-47,1.9849636883334988e-63,0.0,0.9999999999554348,4.456356898841008e-11,0.0,0.0
EXOC6,1.227827571725771e-49,0.0001634869731049064,3.6132309216091405e-112,0.46405071158533373,5.574658606776874e-10,6.150736461980731e-07,0.0,0.5357851858104496
BCL11A,0.0,5.3514067475393125e-33,9.65264202078718e-61,1.2495726508262563e-227,0.9999999999999929,8.717884021396175e-15,0.0,0.0
SLC17A7,0.0,1.383544274132588e-41,6.386316772447582e-70,0.0,0.9999999999996518,3.4683028500851893e-13,0.0,0.0
TBX20,0.0,6.156480523581722e-30,5.051756040192667e-68,0.0,0.9999993088307563,6.911692439798137e-07,0.0,0.0
FOXA1,0.0,3.545156897485525e-40,4.335426640075584e-53,0.0,0.999999994215667,5.7843317176781704e-09,0.0,0.0
GSC,0.0,7.231502670891036e-27,3.915405586411814e-68,0.0,0.9999997970673916,2.0293260706606162e-07,0.0,0.0
ALX4,0.0,2.7383975364235162e-121,5.211687044178799e-43,0.0,1.0,4.2573322323822144e-32,0.0,0.0
IGF2BP3,0.0,3.2074402247313215e-28,8.534023192570913e-101,9.718872900455848e-189,1.0,1.3552113570334417e-16,0.0,0.0
THBD,0.0,1.1838894636481272e-13,3.1775633306452055e-56,3.056539111262225e-128,0.9971449569163291,0.0028550430835507356,0.0,0.0
CDC20B,0.0,1.1444971343505518e-30,5.672029128550536e-46,4.017994558338125e-263,0.9999999999814086,1.8591414307628104e-11,0.0,0.0
FOXG1,0.0,1.6674949857610085e-38,5.31452679435267e-63,0.0,0.9999955825923027,4.417407698177979e-06,0.0,0.0
PDX1,0.0,1.0418557594121199e-54,1.181743919936233e-44,0.0,0.9999999999851816,1.4819517604212197e-11,0.0,0.0
ATOH1,0.0,2.8000288293910498e-08,1.6535828243397092e-72,3.6533781480074146e-181,0.494808493509789,0.5051914784899216,0.0,0.0
BMI1,0.0,0.8449393355334827,6.950777365000443e-86,6.384096653345752e-25,0.1535670564659106,0.0014936080006070452,0.0,6.897630575420191e-143
DOK7,0.0,1.8637480553470033e-13,5.423138206855626e-98,4.063316882095027e-108,0.99690911735249,0.00309088264732476,0.0,0.0
SIX6,0.0,2.413883266645517e-32,9.960529553668711e-57,0.0,0.9999757501097869,2.4249890214216014e-05,0.0,0.0
HAPLN2,0.0,5.6272017743688035e-37,5.1423978324431324e-48,9.790583e-318,0.99998814050681,1.185949318825681e-05,0.0,0.0
RGMA,0.0,3.3082975033597e-05,1.380282768356492e-77,1.0051116846317593e-95,0.9629521870684643,0.03701472995650138,0.0,0.0
CBX8,0.0,1.6716529902378854e-48,9.15347161447835e-86,0.0,0.9999999135655815,8.64344198570046e-08,0.0,0.0
EPS8L1,0.0,0.0015625818916523016,7.391681036435395e-81,1.0378917232187078e-65,0.009845918719386112,0.9885914993889602,0.0,0.0
VSX1,0.0,5.170978079855543e-27,9.57006675516138e-52,0.0,0.9999604723144393,3.952768556162801e-05,0.0,0.0
DNAJC22,0.0,2.1110898885088559e-10,4.1794957203898985e-78,1.1321118313035713e-195,0.9771349176435035,0.022865082145387784,0.0,0.0
FOXD1,0.0,3.6020141497267037e-81,1.9650640393130053e-51,0.0,1.0,1.1038271686015468e-18,0.0,0.0
RIPK3,0.0,1.4096067274790393e-11,7.408676617996597e-62,1.1774226304881728e-111,0.999999945404857,5.45810482846551e-08,0.0,0.0
GABRD,0.0,3.5157629266431916e-35,1.7110351064926398e-63,1.2102820925765825e-285,0.9985779763457235,0.0014220236542752376,0.0,0.0
