	cluster3	cluster5	cluster6	cluster7
Adenohypophysis_development	1	0.005	1	1
Adenylate_cyclase-activating_G_protein-coupled_receptor_signaling_pathway	1	1	0.0027	1
Adenylate_cyclase-modulating_G_protein-coupled_receptor_signaling_pathway	1	1	3.29e-06	1
Adrenal_gland_development	1	0.0069	1	1
Adult_behavior	1	4.16e-06	1	1
Adult_locomotory_behavior	1	0.00032	1	1
Ameboidal-type_cell_migration	1	0.0019	1	1
Amino_acid_neurotransmitter_reuptake	1	0.0086	1	1
Anatomical_structure_development	1.08e-16	2.25e-74	3.91e-15	1
Anatomical_structure_formation_involved_in_morphogenesis	1	3.87e-26	1	1
Anatomical_structure_maturation	1	0.00014	1	1
Anatomical_structure_morphogenesis	2.15e-23	3.6e-63	3.26e-06	1
Angiogenesis	1	0.0098	1	1
Animal_organ_development	3.72e-17	3.29e-66	4.6e-11	1
Animal_organ_formation	1	0.00057	1	1
Animal_organ_morphogenesis	3.28e-27	3.82e-54	0.0012	1
Anterior/posterior_axis_specification	1	1.67e-06	1	1
Anterior/posterior_pattern_specification	4.05e-36	9.75e-21	1	3.39e-10
Aorta_development	1	0.0059	1	1
Aortic_valve_morphogenesis	1	0.00015	1	1
Apoptotic_process	1	0.0047	1	1
Apoptotic_process_involved_in_development	1	0.0049	1	1
Apoptotic_process_involved_in_heart_morphogenesis	1	0.0058	1	1
Artery_development	1	4.93e-06	1	1
Artery_morphogenesis	1	2.57e-05	1	1
Associative_learning	1	0.0028	1	1
Astrocyte_differentiation	1	0.0098	1	1
Atrial_cardiac_muscle_tissue_development	1	7.91e-05	1	1
Atrial_septum_development	1	0.0034	1	1
Autonomic_nervous_system_development	1	9.62e-11	1	1
Axis_elongation	1	0.0041	1	1
Axis_specification	1	1.59e-10	1	1
Axon_development	1	6.71e-23	1	1
Axon_extension	1	0.0025	1	1
Axon_guidance	1	1.04e-23	1	1
Axonogenesis	1	6.12e-24	1	1
BMP_signaling_pathway	1	0.0021	1	1
Behavior	1	8e-13	0.002	1
Biological_regulation	1	8.54e-23	0.00014	1
Blood_circulation	1	0.0012	5.05e-06	1
Blood_vessel_development	1	2.17e-08	1	1
Blood_vessel_morphogenesis	0.0081	1.21e-05	1	1
Bone_development	1	6.36e-05	1	1
Bone_morphogenesis	1	6.73e-07	1	1
Brain_development	1	3.69e-36	1	1
Branching_involved_in_blood_vessel_morphogenesis	1	0.0021	1	1
Branching_involved_in_prostate_gland_morphogenesis	0.00026	1	1	1
Branching_involved_in_ureteric_bud_morphogenesis	1	7.91e-08	1	1
Branching_morphogenesis_of_an_epithelial_tube	1	2.03e-12	1	1
Bundle_of_His_development	1	0.0086	1	1
Calcium_ion_homeostasis	1	1	0.0066	1
Camera-type_eye_development	1	3.29e-18	1	1
Camera-type_eye_morphogenesis	1	1.83e-09	1	1
Canonical_Wnt_signaling_pathway	1	2.78e-06	1	1
Cardiac_atrium_development	1	0.0018	1	1
Cardiac_atrium_morphogenesis	1	0.0021	1	1
Cardiac_cell_fate_commitment	1	4.51e-05	1	1
Cardiac_chamber_development	1	5.11e-12	1	1
Cardiac_chamber_formation	1	0.0017	1	1
Cardiac_chamber_morphogenesis	1	3.29e-13	1	1
Cardiac_conduction	1	0.0069	1	1
Cardiac_conduction_system_development	1	1.85e-05	1	1
Cardiac_muscle_cell_development	1	0.0072	1	1
Cardiac_muscle_cell_differentiation	1	0.00028	1	1
Cardiac_muscle_cell_fate_commitment	1	0.00028	1	1
Cardiac_muscle_tissue_development	1	4.02e-10	1	1
