GENE,cluster1,cluster2,cluster3
NKX2-2,0.9984989118371639,0.0,0.001501088162837435
LHX2,0.012677569903811236,0.0,0.98732243009619
GATA4,5.945648292322785e-21,0.0,1.0
SCRG1,7.580367297654683e-06,0.0,0.9999924196327011
SRCIN1,0.0013590425945499444,0.0,0.9986409574054484
TBX3,0.00800369325505351,0.0,0.9919963067449455
NTNG2,3.6134225180046093e-06,0.0,0.9999963865774845
TBX1,0.134589181457362,0.0,0.8654108185426382
SIM2,0.018287058431976057,0.0,0.9817129415680228
NKX2-3,0.07564757613070183,0.0,0.9243524238692991
FOXG1,0.9999999914983455,0.0,8.501654839091078e-09
TCHH,0.9999999985517363,0.0,1.4482639090777097e-09
PRDM16,3.7259915508796565e-09,0.0,0.9999999962740063
TMEM132E,1.14806235493528e-06,0.0,0.9999988519376455
POU3F2,0.9999626393952474,0.0,3.736060475310578e-05
GSX1,0.002263065900875294,0.0,0.9977369340991256
DMRT3,0.9979359366668963,0.0,0.002064063333105454
NR2F2,4.155091089609014e-08,0.0,0.9999999584490888
FOXD2,3.356963793482203e-07,0.0,0.9999996643036222
NRN1,0.998747528039317,0.0,0.0012524719606843066
BLK,0.9999999999996696,0.0,3.320443555765712e-13
TFAP2B,0.809869309015318,0.0,0.19013069098468358
FEZF2,0.9999992751453595,0.0,7.248546406102119e-07
FOXD3,0.9999964048047406,0.0,3.5951952604418163e-06
HAND1,0.9999988735167896,0.0,1.126483211543871e-06
HOXB6,1.8896084838912714e-241,1.0,1.256583808238098e-119
CYP26B1,0.9999910637587165,0.0,8.936241282062688e-06
XKR6,0.9999732984909125,0.0,2.670150908789548e-05
GRM4,0.9503588562125482,0.0,0.04964114378745141
POU3F3,0.9999820491043182,0.0,1.7950895682291162e-05
LHX3,0.999616589116958,0.0,0.00038341088304330925
TFAP2A,0.003981911943762723,0.0,0.9960180880562365
SSTR5,7.177695634162969e-17,0.0,1.0
EOMES,0.9999995852801619,0.0,4.1471983768562165e-07
CRTAC1,0.9999995449555469,0.0,4.5504445181047006e-07
MAFB,0.9999866194234593,0.0,1.3380576542088106e-05
PRSS16,8.737439981184003e-24,0.0,1.0
BARX1,0.9498520668841295,0.0,0.050147933115871346
HOXB5,1.3405625420385754e-245,1.0,5.166264218371193e-124
RFX4,0.9999999999257092,0.0,7.429022147826429e-11
POM121L2,1.2862792516774088e-22,0.0,1.0
UNC5A,0.9946466293823619,0.0,0.005353370617638427
SFRP1,0.9983179436206344,0.0,0.001682056379364221
DBX1,0.9999987704749733,0.0,1.2295250252258758e-06
NTRK1,0.008066719547357593,0.0,0.9919332804526438
IRX4,0.25940163541242245,0.0,0.7405983645875771
HOXA7,1.6178936007922095e-212,1.0,6.615244665103333e-76
PAX9,0.9999834770142436,0.0,1.6522985756160556e-05
TBX18,0.9999998332055849,0.0,1.667944152152407e-07
CELF4,0.9999999569228999,0.0,4.307709911504682e-08
NEUROG1,0.9782016556835788,0.0,0.02179834431642051
RSPO1,0.9919379939763028,0.0,0.008062006023697499
VAX2,0.4634958482089635,0.0,0.5365041517910367
CRMP1,0.9999999830383183,0.0,1.6961682847152456e-08
ARX,0.9994099520364985,0.0,0.0005900479635028458
BHLHE22,0.9999999999034408,0.0,9.655994406865026e-11
IRF4,0.9999985043305694,0.0,1.495669429530549e-06
SLC6A1,0.9999999999639897,0.0,3.60092841354557e-11
ACAN,0.9999962418957924,0.0,3.7581042071300274e-06
MPPED1,0.9999999995294502,0.0,4.705515127674392e-10
HOXC10,5.174063e-318,1.0,0.0
PDGFB,0.9724919854573321,0.0,0.02750801454266887
PDYN,0.9999986640631675,0.0,1.335936834225951e-06
KCNJ10,0.9999999985728998,0.0,1.4271016705004407e-09
PTPRN2,0.9999999999983338,0.0,1.6647317646189267e-12
MEIS2,0.9999964971517444,0.0,3.5028482556703537e-06
DNAJC22,0.9999364922025121,0.0,6.350779748770521e-05
ADGRA1,0.9999999956661334,0.0,4.333865008153706e-09
WNT10B,0.9571546745609187,0.0,0.04284532543908049
PPP2R2C,0.9999751135761094,0.0,2.4886423892066283e-05
COL2A1,0.0002645169040737523,0.0,0.9997354830959263
NGFR,2.722574800351062e-07,0.0,0.999999727742521
PRDM8,0.999999782565555,0.0,2.1743444659937856e-07
LINGO1,0.9999999997436575,0.0,2.563399750930523e-10
ADAMTSL2,0.9999746332729735,0.0,2.5366727026427024e-05
KCNC1,0.9999134079358417,0.0,8.659206415800214e-05
LHX5,0.9986295541518595,0.0,0.001370445848141685
EGR4,0.9999999981802148,0.0,1.8197869767924868e-09
EXOC6,1.0,0.0,8.1942609130264e-16
WNT3A,0.9999977997083332,0.0,2.200291666320045e-06
DBH,0.9999999581868027,0.0,4.1813199004702276e-08
SORCS2,0.9999996516852507,0.0,3.483147502212141e-07
TBX5,0.06581452097314153,0.0,0.9341854790268568
ONECUT2,0.9999893978592622,0.0,1.0602140736311967e-05
GATA6,0.9970540542192642,0.0,0.002945945780734307
HOXC8,0.0,1.0,0.0
FOXL1,0.6015797237235759,0.0,0.3984202762764227
EPS8L1,0.999991187846614,0.0,8.812153386159393e-06
MNX1,0.5787606669866713,0.0,0.4212393330133277
TBX20,0.999999581261245,0.0,4.1873875495839563e-07
SIX3,1.4486754521652114e-05,0.0,0.999985513245478
NEUROD1,0.9999999999958256,0.0,4.17492881025205e-12
MEGF11,0.9999999943211257,0.0,5.678874596020871e-09
ZDHHC22,0.9999950924756416,0.0,4.907524357425848e-06
IHH,0.9999979623057711,0.0,2.0376942274083244e-06
GFI1B,1.0,0.0,1.361682614430618e-15
HMX2,0.9987396427663956,0.0,0.0012603572336059696
FOXB1,0.9999997779705259,0.0,2.220294753266437e-07
CHD5,0.9999998871540249,0.0,1.1284597381441457e-07
HOXA10,1.5388680238210865e-215,1.0,1.2812144275137752e-74
NXPH1,0.9999999981993106,0.0,1.8006894543060441e-09
KIRREL3,0.9999568365727176,0.0,4.3163427283153805e-05
HMX1,1.7902497909905248e-09,0.0,0.9999999982097485
ALOX12B,0.9932270306587772,0.0,0.006772969341223231
HOXC6,0.0,1.0,0.0
SLC26A10,0.9960120065055222,0.0,0.003987993494476714
EGFLAM,0.9999999999988738,0.0,1.126125201575143e-12
PHACTR3,0.9999999999337206,0.0,6.628083094912654e-11
HOXC4,0.0,1.0,0.0
KCNA2,1.0,0.0,2.933921107234487e-16
CDK5R2,0.9999997852234781,0.0,2.147765229146475e-07
CRYBA2,0.002077079250398208,0.0,0.9979229207496015
SHOX2,0.9999997966266385,0.0,2.0337336307018065e-07
PRMT8,0.9999999999984759,0.0,1.5246286473452139e-12
NFASC,0.9999999999866098,0.0,1.3388416269104307e-11
