GENE,cluster1,cluster2,cluster3,cluster4,cluster5
ZIC4,6.9560123611881724e-15,1.992946365531007e-22,0.0,0.0,0.9999999999999929
TBX15,0.00041682385939875786,1.882315698994781e-18,0.0,0.0,0.9995831761405998
ZIC5,6.252985079564289e-10,2.06749661918935e-06,0.0,0.0,0.9999979318780807
CDH22,5.307703619986956e-22,0.010411727567780618,0.0,0.0,0.9895882724322207
POU3F2,0.9999948871796748,5.079680237226492e-06,0.0,0.0,3.3140087373712275e-08
HOXC10,4.35707e-319,0.0,1.0,0.0,0.0
POU3F3,0.9997667045481583,0.00023329545184186848,0.0,0.0,3.7926509284202073e-17
TFAP2A,6.593019800683482e-05,0.9999340685818368,0.0,0.0,1.2201580677232122e-09
PAX7,2.28556115493781e-19,1.3178565203514044e-14,0.0,0.0,0.9999999999999858
FOXB1,0.9999886525690339,8.971433658601348e-06,0.0,0.0,2.375997308273613e-06
HAPLN2,0.00040995598717213515,0.9995900321079194,0.0,0.0,1.1904908571859404e-08
SYT2,4.984293905021075e-06,0.9999949384332845,0.0,0.0,7.72728117660387e-08
GALNT9,0.008166225682878602,0.9918337743171203,0.0,0.0,1.1996980576540773e-18
RSPO1,0.9999990548092431,9.45189700164503e-07,0.0,0.0,1.055224040438821e-12
DSCAML1,0.13891776761411875,0.8610822323858829,0.0,0.0,5.9565409647085085e-18
TBX20,0.999995241327948,3.394634293543251e-06,0.0,0.0,1.3640377577551068e-06
HMX3,0.9965703734272696,1.1024573743563471e-07,0.0,0.0,0.003429516326991788
SIM1,0.9990178170693734,4.4572337540234423e-13,0.0,0.0,0.0009821829301800012
CACNG2,6.160764633330747e-08,0.995517704575469,0.0,0.0,0.004482233816884771
SIX2,0.998164751984672,0.00028234557736553676,0.0,0.0,0.0015529024379640315
PTPRN2,0.5157842042549307,0.48421579574506934,0.0,0.0,1.6820456169620214e-20
GBX2,0.9979867512609303,0.0019193552896090871,0.0,0.0,9.389344946202792e-05
HOXB13,1.538102198504051e-83,4.4553294065823295e-79,0.0,1.0,1.0937178963079365e-235
HPCAL4,1.0081755484053935e-07,0.9999998991824464,0.0,0.0,7.465332789969933e-33
SIX6,0.9999540038226092,4.5579941029072406e-05,0.0,0.0,4.162363611148024e-07
SHOX2,0.9999224042557033,7.39284306320542e-05,0.0,0.0,3.6673136634181947e-06
GATA5,1.8355487969596552e-16,0.9999999999985043,0.0,0.0,1.494203372759044e-12
EN2,1.6941886695166442e-50,9.47775007043741e-19,0.0,0.0,1.0
FOXF2,0.8806533412279389,0.0003395592720284385,0.0,0.0,0.11900709950003376
VAX2,0.9991705484454125,3.354576829485819e-06,0.0,0.0,0.0008260969777582021
HOXB6,5.00127604e-316,3.8562982393821947e-233,0.0,1.0,0.0
VSX1,0.9739375920893578,0.026062401018491135,0.0,0.0,6.8921517513934215e-09
DMTN,0.9392482329964904,0.060751767003511294,0.0,0.0,1.090218232149487e-18
SLC6A12,0.0005449642215386994,0.9994550357705478,0.0,0.0,7.911918757789898e-12
CELF4,5.24536281638263e-06,0.9999946876269512,0.0,0.0,6.70102325103114e-08
INHBB,0.005204183998153443,0.9947958160013715,0.0,0.0,4.753255069188809e-13
GRIK3,0.05230718481497047,0.9476928098795759,0.0,0.0,5.305454634240545e-09
CRTAC1,0.04546296215419759,0.9545370144580992,0.0,0.0,2.338770232005546e-08
NEUROG2,0.9997208165396326,0.00021561461001365906,0.0,0.0,6.356885035407104e-05
VAX1,0.0009022288760424075,0.00012788294876609044,0.0,0.0,0.9989698881751932
IRX4,0.999671440908518,0.00032853751042509987,0.0,0.0,2.1581055891704496e-08
COL2A1,0.999945644549442,3.0175016621523976e-05,0.0,0.0,2.418043393958223e-05
HAND2,9.356350977681178e-10,3.2074823644617254e-27,0.0,0.0,0.9999999990643644
RFX4,6.641170846615943e-05,0.9999335882915129,0.0,0.0,2.047963907891989e-14
KCNT1,9.37886682024835e-17,1.0,0.0,0.0,7.938559392766844e-46
GATA3,0.9999999975830391,2.4169600953678828e-09,0.0,0.0,1.3935700468673568e-24
HOXB5,6.596e-321,2.1891043393042775e-232,0.0,1.0,0.0
JPH3,0.0024817248741503682,0.9975182751256247,0.0,0.0,2.236358178250543e-13
TLX3,0.9999459627345713,6.576521993194428e-07,0.0,0.0,5.337961322933674e-05
ELFN2,9.345217464302962e-13,0.999653274276961,0.0,0.0,0.000346725722105591
DMRT3,0.9996562131510708,0.000283197276546906,0.0,0.0,6.058957238335234e-05
PPP2R2C,0.7628791904276425,0.23712080957189588,0.0,0.0,4.604331225714802e-13
WNT10B,0.879708011564508,0.12028758657751579,0.0,0.0,4.401857974535119e-06
EVX1,4.0617052841036537e-82,1.0767513835256154e-55,0.0,0.0,1.0
BCAN,0.7550968796294995,0.2448999608318974,0.0,0.0,3.1595386024537103e-06
OSR2,0.9999996150228897,1.0877227853822515e-07,0.0,0.0,2.7620483186009965e-07
SNCB,0.003732775118583441,0.9962672123388477,0.0,0.0,1.2542569306162984e-08
NGFR,7.307407108998124e-15,0.9999999999649916,0.0,0.0,3.5001465443406743e-11
LHX3,0.9055478512422444,0.09445214752586183,0.0,0.0,1.2318938277044502e-09
KCNQ2,3.48970380822388e-17,1.0,0.0,0.0,1.1174894781038132e-21
UNC5A,0.008413215346706481,0.991586784653292,0.0,0.0,1.1338131448213768e-15
TCTE1,0.0007598367637102928,0.9992401632310054,0.0,0.0,5.285175579064918e-12
ARX,0.9996645575968425,0.0003179851622606782,0.0,0.0,1.7457240896428516e-05
SLC17A7,0.999939670072052,6.018689973858033e-05,0.0,0.0,1.4302820775822566e-07
BTNL9,8.763210802597287e-06,0.999991236787458,0.0,0.0,1.7397534640716467e-12
C1QA,3.5278658601395884e-15,0.9999999998064908,0.0,0.0,1.935046453916687e-10
HOXC9,0.0,0.0,1.0,0.0,0.0
ZIC2,2.2490404696490527e-08,1.0164891964507235e-07,0.0,0.0,0.9999998758606742
PRDM16,7.011797191240112e-23,1.0,0.0,0.0,6.297980311408432e-45
CBX8,0.9991991846549158,0.0008008153450836498,0.0,0.0,3.7841262603099396e-17
NRN1,0.9999962388487408,1.2675733618460369e-07,0.0,0.0,3.634393924138887e-06
IGSF21,1.0490090434978382e-06,0.9999989509906508,0.0,0.0,3.0514834997999194e-13
FEZF2,0.9999806676033463,1.9312788473978393e-05,0.0,0.0,1.9608180183703996e-08
NEUROD1,0.9853628995548239,0.014637100131495826,0.0,0.0,3.136790660696523e-10
KIF1A,0.040237381344327236,0.9597626186556711,0.0,0.0,1.683944749433938e-20
ISL1,0.999978256183133,2.1693613369758502e-05,0.0,0.0,5.020349732245514e-08
CUX2,0.007253465241386366,0.9927462265358282,0.0,0.0,3.082227845545501e-07
KCNJ5,0.004260839015285476,0.9957391609847139,0.0,0.0,6.642657599124766e-17
SHANK1,0.00035890538020402887,0.9996410946197971,0.0,0.0,5.145725639538571e-21
SSTR5,2.1571440787769755e-40,1.0,0.0,0.0,5.477778969231385e-29
MNX1,0.19880916808826024,1.2143068904153366e-06,0.0,0.0,0.8011896176048511
LHX8,0.9991146957322691,0.0008851185206937742,0.0,0.0,1.8574703665046172e-07
HOXD8,0.0,0.0,0.0,1.0,0.0
RAX,0.9992453970051702,0.00011219343860370114,0.0,0.0,0.0006424095562261674
CDK5R2,0.2447707699516359,0.7551701038283868,0.0,0.0,5.912621997630074e-05
SLC6A3,0.9673723346678991,0.032627665329748444,0.0,0.0,2.353664205160997e-12
SYT5,0.0001567695170622167,0.9998431676809936,0.0,0.0,6.280194393657148e-08
CPLX1,0.9027058447212863,0.0972941552787135,0.0,0.0,7.094554216340504e-19
FLI1,0.00041040168769707525,0.9995895983025627,0.0,0.0,9.73998706339939e-12
DLK1,0.2579516752379059,0.7420483242797854,0.0,0.0,4.823096983332298e-10
RNF220,0.9849904397291077,2.2406477452506488e-05,0.0,0.0,0.01498715379344117
FGF8,0.2752387863024914,0.7247612136974809,0.0,0.0,2.6037258946973795e-14
GJA3,2.593527065070608e-07,0.9999996859289619,0.0,0.0,5.4718331450853724e-08
ALX3,8.930776564862374e-08,0.9999999106922357,0.0,0.0,3.229043638271775e-25
SLC18A3,0.993728125275952,0.006233973104885459,0.0,0.0,3.790161916119747e-05
SLC26A10,0.997880783874844,0.002119213008528556,0.0,0.0,3.116628203802055e-09
CRMP1,0.9938664192127956,0.006133580787206127,0.0,0.0,6.65374324539385e-21
PAX1,0.9999634676828366,3.210831968711474e-05,0.0,0.0,4.423997474928591e-06
LMX1A,0.9997290643426837,0.0002709209431251821,0.0,0.0,1.471419111661443e-08
MEGF11,0.004396574364043169,0.9956034251173804,0.0,0.0,5.185765250990818e-10
CCDC33,2.642314066508537e-05,0.9999735768593366,0.0,0.0,8.535332858260923e-26
PDE1B,0.00010717581749661725,0.9998928241825014,0.0,0.0,2.14368412643336e-15
DNAJB8,7.02321131733632e-19,1.0,0.0,0.0,1.5341563064213824e-26
SPR,1.588620019141447e-08,0.9999999841137993,0.0,0.0,5.993437942204249e-24
GRIK4,0.0001743091607349582,0.9998256908392636,0.0,0.0,3.2962827392489043e-18
NR2F1,0.9999999788501734,2.1149825706057126e-08,0.0,0.0,1.300862221453518e-19
CCM2L,5.492096023135777e-10,0.9999967807453933,0.0,0.0,3.2187053978931083e-06
