GENE,cluster1
CNPY1,1.0
LMX1B,1.0
ZIC4,1.0
SCRG1,1.0
HMX1,1.0
ZIC5,1.0
CDH22,1.0
HOXB13,1.0
DMRT1,1.0
DLX1,1.0
TMEM132E,1.0
EPHA8,1.0
SFRP1,1.0
FEZF1,1.0
NEUROG1,1.0
SIM1,1.0
TLX3,1.0
RNF220,1.0
SIM2,1.0
GATA2,1.0
BARX1,1.0
SHTN1,1.0
SLC26A10,1.0
EBF3,1.0
BARHL2,1.0
RAX,1.0
COMP,1.0
SHANK1,1.0
FOXA1,1.0
ISL1,1.0
ROBO3,1.0
RBFOX3,1.0
ASIC4,1.0
GRM4,1.0
LHX2,1.0
TBR1,1.0
SLC12A5,1.0
TTC6,1.0
ONECUT2,1.0
METAP1D,1.0
DMTN,1.0
ARX,1.0
BARHL1,1.0
HSF4,1.0
SLC6A5,1.0
CRTAC1,1.0
IRF4,1.0
TCTE1,1.0
DMRT3,1.0
CRMP1,1.0
HAND1,1.0
MPPED1,1.0
GJA3,1.0
OSR2,1.0
ANK1,1.0
UNC5A,1.0
WNT10A,1.0
BMP7,1.0
XKR6,1.0
CPLX4,1.0
NKX2-5,1.0
TBX1,1.0
HAPLN2,1.0
BTNL9,1.0
PAX6,1.0
ITPKA,1.0
SCN4B,1.0
HAND2,1.0
FAM172A,1.0
PPP2R2C,1.0
SIX1,1.0
SEMA5B,1.0
SYPL2,1.0
KCNJ10,1.0
CELF4,1.0
SSTR4,1.0
SNCB,1.0
HOXB5,1.0
KCNT1,1.0
CALY,1.0
HOXC10,1.0
GATA5,1.0
TFAP2D,1.0
ANO1,1.0
IHH,1.0
OTOP3,1.0
ZDHHC22,1.0
CPLX1,1.0
SLC6A17,1.0
SLC8A2,1.0
HPCAL4,1.0
SKOR1,1.0
TBX3,1.0
LMO2,1.0
PSD2,1.0
RGS20,1.0
LINGO1,1.0
OTP,1.0
FOXB1,1.0
PDYN,1.0
NTRK1,1.0
ISLR2,1.0
OLFM1,1.0
FBXL16,1.0
BCAN,1.0
PAX3,1.0
EBF2,1.0
OTX2,1.0
EBF4,1.0
CYP26B1,1.0
NRXN2,1.0
SYT5,1.0
ADCYAP1,1.0
PHACTR3,1.0
SIX6,1.0
FZD10,1.0
ALX4,1.0
HMX2,1.0
NSG1,1.0
DPYSL5,1.0
TROAP,1.0
TCF21,1.0
WNT7B,1.0
LHX8,1.0
CBLN1,1.0
ADORA1,1.0
RGMA,1.0
SLC6A1,1.0
CD40,1.0
MEGF11,1.0
BUB3,1.0
SMUG1,1.0
POU4F2,1.0
VGLL2,1.0
KRT1,1.0
KCNJ5,1.0
AQP5,1.0
KCNH2,1.0
PAX8,1.0
KIRREL3,1.0
SKAP1,1.0
PHF24,1.0
RTBDN,1.0
NEFL,1.0
MAFB,1.0
RIPK4,1.0
