GENE,cluster1,cluster2,cluster3,cluster4
ALX4,9.177134579030425e-11,0.0,0.0,0.9999999999082299
PAX5,9.346888202854339e-13,0.0,0.0,0.9999999999990656
HOXA7,0.0,0.0,1.0,1.3067121567839204e-261
DLX3,1.5290372248724393e-09,0.0,0.0,0.9999999984709618
SLC12A5,0.9900770019831467,0.0,0.0,0.009922998016855032
NEUROG3,0.0009824706849186522,0.0,0.0,0.9990175293150817
GALNT9,0.9994819416494332,0.0,0.0,0.0005180583505651648
FOXL1,1.0478734729645968e-05,0.0,0.0,0.999989521265269
EN2,1.2185744124148062e-27,0.0,0.0,1.0
CACNG2,0.005715083816288531,0.0,0.0,0.9942849161837105
HMX3,2.6904093493010898e-06,0.0,0.0,0.9999973095906494
HPCAL4,0.9999999991415436,0.0,0.0,8.584598077592237e-10
OLIG3,2.9557314228877034e-09,0.0,0.0,0.9999999970442701
TFAP2A,1.7009468728512122e-05,0.0,0.0,0.9999829905312719
SRCIN1,0.9999765570420807,0.0,0.0,2.344295792001463e-05
ONECUT1,3.318215096673048e-08,0.0,0.0,0.9999999668178502
PTPRN2,0.9935854294871185,0.0,0.0,0.006414570512880515
COL2A1,3.5375869600419334e-07,0.0,0.0,0.9999996462413052
DLX2,4.941742307191515e-09,0.0,0.0,0.999999995058257
GSX1,9.043429750190884e-09,0.0,0.0,0.9999999909565709
OTP,7.637978660701212e-07,0.0,0.0,0.9999992362021327
FOXL2,0.0009290837477171257,0.0,0.0,0.9990709162522837
SIX3,1.3165187690166194e-12,0.0,0.0,0.9999999999986819
HOXB6,0.0,0.0,1.0,1.643692901507308e-231
CNTFR,0.968089677689163,0.0,0.0,0.031910322310838575
JPH3,0.9974094655748013,0.0,0.0,0.002590534425198525
NGFR,3.524076504474393e-08,0.0,0.0,0.9999999647592339
SOX17,4.198719567629117e-06,0.0,0.0,0.999995801280431
GNAS,0.9989303422267081,0.0,0.0,0.00106965777329159
GBX2,0.008061441543988255,0.0,0.0,0.9919385584560134
HOXC9,0.0,1.0,0.0,5.871423129180863e-164
SYT2,0.9995190038051216,0.0,0.0,0.00048099619487943
RBFOX3,0.9988201181029505,0.0,0.0,0.0011798818970478607
SCRT2,0.9966209746077795,0.0,0.0,0.003379025392219263
SLC26A10,0.967633716188239,0.0,0.0,0.03236628381176233
CRMP1,0.03597551011441886,0.0,0.0,0.9640244898855803
ELFN2,0.9999976574962989,0.0,0.0,2.3425037018882875e-06
IRX6,8.10062182071357e-05,0.0,0.0,0.9999189937817914
NRN1,4.842943944752187e-05,0.0,0.0,0.9999515705605541
NPTX1,0.014837685813980242,0.0,0.0,0.9851623141860189
FOXD2,2.1235802655369593e-08,0.0,0.0,0.9999999787641978
OTX2,3.8453157068258536e-07,0.0,0.0,0.9999996154684283
DBH,0.9999999765344223,0.0,0.0,2.3465579421773572e-08
SYT7,0.9999999256521824,0.0,0.0,7.434781738195641e-08
KCND3,0.9999951766573546,0.0,0.0,4.823342645470933e-06
RSPO1,9.054218903735888e-08,0.0,0.0,0.9999999094578099
PRDM6,0.01946302244675653,0.0,0.0,0.9805369775532431
TBX3,6.018252052349326e-13,0.0,0.0,0.9999999999993996
CPLX1,0.9995628061303476,0.0,0.0,0.0004371938696529112
HOXB5,0.0,0.0,1.0,1.2165843009794133e-229
KIF1A,0.999678021632433,0.0,0.0,0.000321978367565461
UNCX,3.562512980287656e-08,0.0,0.0,0.9999999643748694
TCF21,7.986139472006769e-11,0.0,0.0,0.9999999999201385
XKR6,7.726395418455762e-12,0.0,0.0,0.9999999999922728
PPP2R2C,0.9937580567583042,0.0,0.0,0.006241943241696562
CELF4,0.9992507171555252,0.0,0.0,0.0007492828444750059
EMX1,5.004382084965911e-11,0.0,0.0,0.9999999999499565
GBX1,0.9967554829052937,0.0,0.0,0.003244517094705855
RNF220,0.000387237908450517,0.0,0.0,0.9996127620915487
CABP7,0.9999917611932184,0.0,0.0,8.2388067807865e-06
NKX2-2,1.49769129873591e-07,0.0,0.0,0.9999998502308719
NRG2,2.2145400770896333e-09,0.0,0.0,0.9999999977854586
GSX2,0.00039943150288914954,0.0,0.0,0.9996005684971101
MEGF11,0.9954151480487784,0.0,0.0,0.004584851951222716
VSTM2L,0.9999650192036971,0.0,0.0,3.498079630246134e-05
DMTN,0.9999952325096857,0.0,0.0,4.767490313631765e-06
DMRTA2,0.000731859008134101,0.0,0.0,0.9992681409918664
EBF1,0.0009130737763906498,0.0,0.0,0.9990869262236095
LMX1B,1.6165010174473413e-18,0.0,0.0,1.0
SLC9A3,0.9956127174093229,0.0,0.0,0.004387282590676319
EXOC6,0.9952901947101228,0.0,0.0,0.004709805289875447
ECEL1,0.9999994650146721,0.0,0.0,5.349853279720802e-07
DDN,0.9998935577352543,0.0,0.0,0.00010644226474637849
VAX2,1.3761328046558724e-05,0.0,0.0,0.9999862386719524
ISL1,0.000191450450878639,0.0,0.0,0.9998085495491202
PHACTR3,0.9979737698823659,0.0,0.0,0.0020262301176340518
NR2F2,3.902340455801282e-29,0.0,0.0,1.0
KCNB1,0.9951813762040487,0.0,0.0,0.004818623795949768
KCNH2,0.9999162280203887,0.0,0.0,8.37719796095498e-05
PDYN,0.9840232370168961,0.0,0.0,0.015976762983105144
BMP7,0.9962907699083287,0.0,0.0,0.0037092300916721096
CRTAC1,0.976133738706193,0.0,0.0,0.02386626129380799
TBX21,0.9999597121354528,0.0,0.0,4.0287864545603824e-05
FAM43B,0.9871665426467799,0.0,0.0,0.012833457353218529
BCL11A,3.3357787892491565e-07,0.0,0.0,0.9999996664221223
CACNA1C,0.9879982634927172,0.0,0.0,0.012001736507283844
KCNT1,0.9999999999964437,0.0,0.0,3.5575956524633936e-12
CBX2,0.9944526100907508,0.0,0.0,0.005547389909248492
OLFM1,0.9999973738691977,0.0,0.0,2.62613080392752e-06
HOXC5,0.0,1.0,0.0,1.1232644616124294e-191
FBXL16,0.991998161543437,0.0,0.0,0.00800183845656137
SYT5,0.9749312620067945,0.0,0.0,0.025068737993205643
NXPH1,0.014895065925610771,0.0,0.0,0.9851049340743883
IGF2BP1,0.0007265013827048378,0.0,0.0,0.9992734986172942
DNAJB8,0.9999974099728778,0.0,0.0,2.5900271240130078e-06
CXCL14,0.9978566986929065,0.0,0.0,0.0021433013070951755
RTBDN,0.985231940415184,0.0,0.0,0.014768059584815522
SSTR5,0.9999999999990052,0.0,0.0,9.98185170106827e-13
NR5A1,0.999859290509564,0.0,0.0,0.00014070949043471228
RFX4,0.9689182847159804,0.0,0.0,0.03108171528402056
GATA4,1.4639840312430556e-51,0.0,0.0,1.0
CCDC33,0.9999980660012625,0.0,0.0,1.9339987377995716e-06
CHD5,0.9991603932970398,0.0,0.0,0.0008396067029613111
HOXC4,0.0,1.0,0.0,1.1232644616124294e-191
SYN2,0.03895173141788109,0.0,0.0,0.9610482685821192
ARHGAP36,1.0,0.0,0.0,2.6369438695434063e-26
SALL1,0.055375582979343474,0.0,0.0,0.944624417020658
NAT8L,0.9999055017806199,0.0,0.0,9.449821937855763e-05
SLC6A12,0.9999958828672377,0.0,0.0,4.117132762988416e-06
IRF4,0.9899966078923558,0.0,0.0,0.010003392107644107
NR2F1,9.103831403440988e-13,0.0,0.0,0.9999999999990905
FADS6,0.9999196221070582,0.0,0.0,8.037789294327872e-05
INSRR,0.9998842736357222,0.0,0.0,0.00011572636427861107
ADRA2C,0.9999999999590337,0.0,0.0,4.096569563026442e-11
GRP,0.347909581720058,0.0,0.0,0.6520904182799434
FOXD1,3.873126618617729e-13,0.0,0.0,0.9999999999996128
FIBCD1,0.9988840914169765,0.0,0.0,0.0011159085830217536
ZDHHC22,0.9927420094467487,0.0,0.0,0.007257990553250747
MMP9,0.9997488479305124,0.0,0.0,0.000251152069488834
PDE1B,0.9992231243436015,0.0,0.0,0.0007768756564001785
WNT7B,0.999973670200554,0.0,0.0,2.6329799445319614e-05
PHF24,0.9993993872772217,0.0,0.0,0.0006006127227785522
ATP6V1B1,0.9940120812904449,0.0,0.0,0.005987918709554968
CNTN2,0.9999874579160197,0.0,0.0,1.2542083981671887e-05
ABLIM2,0.9999997951464611,0.0,0.0,2.0485353889860998e-07
NEFL,0.19532295231560207,0.0,0.0,0.8046770476843974
NRXN2,0.9981877061963671,0.0,0.0,0.0018122938036332433
SLIT1,0.9999822299108774,0.0,0.0,1.777008912314348e-05
TCHH,9.014117589919093e-06,0.0,0.0,0.9999909858824111
EEF1A2,0.9999999999593889,0.0,0.0,4.0612464365448016e-11
SATB2,0.0004071492596295094,0.0,0.0,0.9995928507403706
HOXA11,0.0,0.0,1.0,1.1539419498068044e-222
HOXC13,0.0,1.0,0.0,6.151548097952455e-105
FOXB1,4.0883556212033525e-05,0.0,0.0,0.9999591164437874
LHX4,0.15546868073770392,0.0,0.0,0.8445313192622951
MFSD4A,0.9957851421963452,0.0,0.0,0.004214857803653785
SEPT5,0.99999993608426,0.0,0.0,6.391573826688399e-08
CACNG4,0.998681205590116,0.0,0.0,0.0013187944098826698
VSIG2,0.9944366105888279,0.0,0.0,0.005563389411172072
RXRG,0.9438820581416401,0.0,0.0,0.056117941858358424
TBX18,0.0009399773741218673,0.0,0.0,0.9990600226258769
OTOP2,0.9998044383357106,0.0,0.0,0.00019556166428838322
NSG1,0.9999457155182403,0.0,0.0,5.428448176141207e-05
NFIC,0.9999081495257687,0.0,0.0,9.18504742298437e-05
PLXNA4,0.9959695590920943,0.0,0.0,0.004030440907906326
GP1BB,0.9999994079054891,0.0,0.0,5.920945091144728e-07
TLX1,1.0111824697005373e-47,0.0,0.0,1.0
CDC20B,1.6474104139199746e-08,0.0,0.0,0.9999999835258963
