	cluster1	cluster2	cluster3
Amino_acid_neurotransmitter_reuptake	0.0016	1	1
Anatomical_structure_development	1.02e-16	1	1.09e-06
Anatomical_structure_formation_involved_in_morphogenesis	0.00065	1	1
Anatomical_structure_morphogenesis	2.8e-12	0.0002	3.25e-07
Animal_organ_development	3.45e-16	0.0023	4.74e-07
Animal_organ_morphogenesis	1.59e-10	1	6.3e-07
Anterior/posterior_pattern_specification	0.00059	4.4e-14	1
Atrioventricular_bundle_cell_differentiation	1	1	0.0042
Autonomic_nervous_system_development	1	1	0.0087
Axis_specification	1	1	0.0028
Axon_development	1.68e-05	1	1
Axon_guidance	2.25e-05	1	1
Axonogenesis	0.00018	1	1
Biological_regulation	0.0006	1	1
Brain_development	5.4e-09	1	1
Cardiac_conduction_system_development	1	1	0.0054
Cardiac_septum_morphogenesis	1	1	0.001
Cell-cell_signaling	0.0035	1	1
Cell_development	5e-09	1	1.57e-05
Cell_differentiation	1.87e-15	1	3.25e-07
Cell_differentiation_in_spinal_cord	1.82e-08	1	1
Cell_fate_commitment	3.29e-17	1	0.00049
Cell_fate_determination	0.00093	1	1
Cell_fate_specification	5.17e-08	1	1
Cell_morphogenesis	0.00033	1	0.0086
Cell_morphogenesis_involved_in_differentiation	0.0018	1	1
Cell_population_proliferation	0.0048	1	1
Cell_proliferation_in_forebrain	2.96e-06	1	1
Cellular_component_morphogenesis	5.39e-05	1	1
Cellular_component_organization	0.0024	1	1
Cellular_process	0.00095	1	1
Central_nervous_system_development	2.4e-13	1	5.17e-05
Central_nervous_system_neuron_differentiation	1.88e-09	1	1
Cerebral_cortex_cell_migration	0.0013	1	1
Cerebral_cortex_development	0.0072	1	1
Cerebral_cortex_neuron_differentiation	0.0027	1	1
Cerebral_cortex_radially_oriented_cell_migration	0.0064	1	1
Chemotaxis	0.0039	1	1
Chordate_embryonic_development	0.0022	1	0.0058
Circulatory_system_development	0.0046	1	0.0055
Columnar/cuboidal_epithelial_cell_differentiation	0.0038	1	1
Cranial_nerve_development	0.0027	1	1
Developmental_process	1	1	9.05e-07
Diencephalon_development	7.14e-05	1	1
Digestive_system_development	0.00028	1	1
Digestive_tract_development	0.0014	1	1
Dorsal/ventral_pattern_formation	4.28e-08	1	1
Embryo_development	1.17e-06	1.12e-06	6.55e-06
Embryonic_eye_morphogenesis	1	1	0.0045
Embryonic_forelimb_morphogenesis	1	1	0.0037
Embryonic_morphogenesis	1.94e-06	1.35e-06	5.17e-05
Embryonic_organ_development	2.05e-06	1	9.17e-05
Embryonic_organ_morphogenesis	7.1e-07	1	9.17e-05
Embryonic_skeletal_system_development	1	2.5e-08	1
Embryonic_skeletal_system_morphogenesis	1	8.45e-07	1
Endocardial_cushion_development	1	1	0.0086
Endocrine_pancreas_development	0.00069	1	1
Endocrine_system_development	1.74e-05	1	1
Epithelial_cell_differentiation	1.68e-05	1	0.00055
Epithelial_to_mesenchymal_transition	0.0092	1	1
Epithelium_development	8.25e-08	1	9.35e-07
Forebrain_development	6.08e-09	1	0.00041
Gastrulation	0.0051	1	1
Generation_of_neurons	1	1	9.17e-05
Gland_development	0.003	1	1
Glandular_epithelial_cell_differentiation	0.0044	1	1
Gliogenesis	0.0081	1	1
Head_development	5.64e-10	1	0.00049
Heart_development	8.46e-05	1	1
Heart_looping	0.0039	1	1
Heart_morphogenesis	0.008	1	0.0053
Hippocampus_development	0.0013	1	1
Inner_ear_development	6.43e-06	1	1
Inner_ear_morphogenesis	4.55e-05	1	0.0039
Limb_morphogenesis	1	1	0.009
Limbic_system_development	6.29e-06	1	1
Mesenchyme_development	0.0064	1	1
Morphogenesis_of_an_epithelium	1	1	0.0072
Multicellular_organism_development	5.25e-17	1	1
Multicellular_organismal_process	2.8e-12	1	1
Muscle_cell_fate_commitment	1	1	0.00087
Muscle_tissue_development	0.00034	1	1
Negative_regulation_of_RNA_metabolic_process	5.39e-05	1	1
Negative_regulation_of_biological_process	0.0055	1	1
