	cluster1
Anatomical_structure_development	6.36e-24
Anatomical_structure_formation_involved_in_morphogenesis	7.04e-08
Anatomical_structure_morphogenesis	1.01e-23
Animal_organ_development	9.9e-27
Animal_organ_morphogenesis	7.75e-21
Anterior/posterior_axis_specification	0.00065
Anterior/posterior_pattern_specification	3.09e-10
Axis_specification	9.88e-05
Axon_development	2.64e-12
Axon_guidance	9.51e-12
Axonogenesis	2.47e-11
Biological_regulation	6.22e-05
Bone_development	0.00057
Bone_morphogenesis	1.29e-05
Brain_development	5.98e-16
Branching_morphogenesis_of_an_epithelial_tube	0.005
Camera-type_eye_development	3.3e-05
Camera-type_eye_morphogenesis	0.0041
Cardiac_chamber_morphogenesis	0.0005
Cardiac_muscle_cell_fate_commitment	0.00012
Cardiac_muscle_tissue_development	0.00013
Cardiac_pacemaker_cell_development	0.00017
Cardiac_septum_morphogenesis	0.0015
Cardiocyte_differentiation	0.0021
Cartilage_development	0.00052
Cartilage_development_involved_in_endochondral_bone_morphogenesis	0.0076
Cell-cell_signaling	0.0037
Cell_development	2.19e-16
Cell_differentiation	1.35e-24
Cell_differentiation_in_spinal_cord	1.52e-10
Cell_fate_commitment	1.78e-25
Cell_fate_determination	5.63e-07
Cell_fate_specification	4.83e-16
Cell_migration	0.00037
Cell_morphogenesis	1.6e-10
Cell_morphogenesis_involved_in_differentiation	1.19e-09
Cell_motility	0.0011
Cell_population_proliferation	1.43e-07
Cell_projection_morphogenesis	1.06e-10
Cell_projection_organization	1.36e-06
Cell_proliferation_in_forebrain	0.0028
Cellular_component_morphogenesis	1.04e-09
Cellular_response_to_BMP_stimulus	0.0094
Central_nervous_system_development	4.41e-21
Central_nervous_system_neuron_differentiation	1.41e-12
Cerebellum_development	0.0088
Cerebral_cortex_GABAergic_interneuron_differentiation	9.47e-06
Cerebral_cortex_GABAergic_interneuron_migration	0.0021
Cerebral_cortex_cell_migration	0.0028
Cerebral_cortex_development	0.0031
Cerebral_cortex_neuron_differentiation	1.5e-05
Chondrocyte_differentiation	0.0036
Chordate_embryonic_development	5.36e-09
Circulatory_system_development	0.00011
Cochlea_development	0.0035
Cochlea_morphogenesis	0.0036
Columnar/cuboidal_epithelial_cell_differentiation	1.86e-05
Connective_tissue_development	0.00012
Cranial_nerve_development	0.0054
Developmental_growth	0.0012
Developmental_process	2.9e-21
Diencephalon_development	0.0023
Digestive_system_development	2.09e-05
Digestive_tract_development	9.53e-05
Dopaminergic_neuron_differentiation	0.00073
Dorsal/ventral_pattern_formation	1.58e-08
Ear_development	6.68e-09
Ear_morphogenesis	4.08e-11
Embryo_development	2.26e-18
