GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
SCRG1,9.682849744757703e-30,0.0,3.9940264327764206e-19,1.0,0.0,1.1557023668322728e-29
RBFOX3,0.9999630672643763,0.0,2.570361448408141e-10,1.2824621203961775e-05,0.0,2.4107857382486248e-05
GSX1,2.432308001041898e-24,0.0,0.9999990188316108,9.783972926392786e-07,0.0,2.7710961220803515e-09
ZIC5,2.14179916995008e-14,0.0,0.9999998893465677,7.201009638241956e-16,0.0,1.1065341164258457e-07
CRTAC1,0.9453735294988757,0.0,0.009584287730359404,0.0034730960556814973,0.0,0.041569086715081915
FOXD2,4.14162146216734e-31,0.0,0.9999999999999716,2.032837532830869e-14,0.0,9.752661944120454e-15
CDH22,1.1243003497053464e-18,0.0,0.9999915962891964,2.8309123927143958e-21,0.0,8.403710805308629e-06
SLC6A17,0.00010291793209380747,0.0,0.9059256696626605,0.0445152761687177,0.0,0.04945613623652926
RSPO1,2.3878255542070128e-11,0.0,0.0011568467599891703,0.9988430544344645,0.0,9.878166821345624e-08
HAND2,6.655197016895011e-29,0.0,6.80242452119862e-21,1.0,0.0,6.013479004266058e-30
DLX3,1.1154882012849405e-35,0.0,0.9999999879940732,2.121923939034667e-20,0.0,1.200592647685748e-08
CELF4,2.9797891394778786e-10,0.0,0.0012958105265800674,0.013815806710344963,0.0,0.9848883824650948
CRMP1,0.06353114251635138,0.0,0.002408198729248629,0.08055932556845001,0.0,0.8535013331859496
RNF220,4.970361037860457e-07,0.0,0.020831127699881755,0.9791662258183857,0.0,2.149445628950163e-06
ARX,2.3592474621296168e-12,0.0,6.701165142031778e-08,0.9999578974788378,0.0,4.203550715212871e-05
NKX2-2,1.4106768860874978e-06,0.0,0.26928480409195754,0.7307131620906722,0.0,6.231404842308601e-07
PTPRN2,0.9944252647832736,0.0,1.087849211699533e-07,0.00041105168221791454,0.0,0.005163574749588042
GALNT9,0.00015950900033522488,0.0,0.0005214208866387356,5.991781175594598e-06,0.0,0.9993130783318505
TMEM132E,2.589299970457383e-28,0.0,0.9999999967686612,2.7638446095019205e-12,0.0,3.228574206362312e-09
UNC5A,0.0002203794343957055,0.0,5.627543638193102e-06,0.00027562856061058246,0.0,0.999498364461357
SRCIN1,8.132555679127469e-11,0.0,0.9960100912689327,5.257100099115113e-13,0.0,0.003989908649216952
SSTR5,1.6941101442949892e-40,0.0,1.275387964448685e-10,6.755984383763212e-56,0.0,0.9999999998724647
CACNG2,6.394578421011142e-05,0.0,0.10678728659514544,4.4216754779728866e-08,0.0,0.8931487234038892
DMRT3,3.4838957402002265e-18,0.0,0.007753336977237852,0.9922463830484056,0.0,2.799743563641451e-07
LMX1B,3.883421019473603e-43,0.0,1.0,4.2081445460140465e-23,0.0,7.613225045855815e-27
XKR6,1.2868161049706105e-11,0.0,0.9769542168412519,0.00042966172658861584,0.0,0.022616121419290713
ASIC4,0.005936068683972944,0.0,0.0025147762412625766,0.05703142246953481,0.0,0.9345177326052312
PPP2R2C,0.7530207452194033,0.0,4.396331952716548e-05,0.07163314929119698,0.0,0.17530214216987178
FEZF2,0.00036341743929511563,0.0,0.8202446793603351,0.1793757362184346,0.0,1.616698193617119e-05
VAX2,5.074679415621683e-16,0.0,0.9689553086029346,0.031044642985799984,0.0,4.84112646624301e-08
HPCAL4,1.0782511188150328e-29,0.0,0.9999999906011894,3.192881310581874e-16,0.0,9.398809181558558e-09
HOXC10,0.0,1.0,1.2073545172317078e-97,0.0,0.0,0.0
HOXB5,0.0,0.0,3.538345071083009e-192,0.0,1.0,0.0
RFX4,0.020447774348256256,0.0,0.01710884581305249,0.9510887899796304,0.0,0.011354589859061615
GNAS,0.9999471864679015,0.0,1.0546661571460216e-09,6.57391860253132e-06,0.0,4.6238558828251584e-05
TFAP2A,1.802070875649251e-16,0.0,0.9987994698441064,3.1251921349370786e-09,0.0,0.0012005270307009067
SNCB,2.5705106380279753e-05,0.0,2.4157386434739382e-08,0.7484657056040802,0.0,0.2515085651321547
CPLX1,0.8480158488395405,0.0,0.0001813262212545902,0.0008914290782447932,0.0,0.1509113958609585
DMTN,2.4996375438293128e-05,0.0,0.06470072506035647,1.0414391805378118e-05,0.0,0.9352638641724007
