	cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
Action_potential	1	1	1	1	1	0.007
Anatomical_structure_development	4.18e-06	1	6.25e-09	2.56e-09	1	1
Anatomical_structure_formation_involved_in_morphogenesis	1	1	1	6.48e-05	1	1
Anatomical_structure_morphogenesis	1	1	1.81e-07	1.65e-08	3.11e-05	0.0065
Animal_organ_development	1	1	2.12e-08	2.13e-11	1	1
Animal_organ_morphogenesis	1	1	4.14e-07	3.86e-07	7.17e-05	1
Anterior/posterior_pattern_specification	1	1	1	0.0015	1.01e-06	1
Atrial_septum_morphogenesis	1	1	1	0.0087	1	1
Atrioventricular_bundle_cell_differentiation	1	1	0.0091	1	1	1
Axonogenesis	1	1	1	0.0014	1	1
Behavior	0.0081	1	1	1	1	0.0036
Biological_regulation	0.0066	1	1	0.004	1	0.00015
Blood_circulation	1	1	1	1	1	0.002
Brain_development	0.0007	1	0.00061	9.9e-07	1	1
Branching_involved_in_ureteric_bud_morphogenesis	1	1	1	0.0087	1	1
Branching_morphogenesis_of_an_epithelial_tube	1	1	1	0.0058	1	1
Cardiac_chamber_morphogenesis	1	1	1	0.0042	1	1
Cardiac_muscle_contraction	1	1	1	1	1	0.0026
Cardiac_right_ventricle_morphogenesis	1	1	1	0.00069	1	1
Cardiac_ventricle_morphogenesis	1	1	1	0.0036	1	1
Cation_transmembrane_transport	1	1	1	1	1	2.36e-10
Cell-cell_signaling	3.03e-07	1	1	1	1	2.18e-07
Cell_communication	3.34e-05	1	1	1	1	1.24e-05
Cell_development	1	1	1	9.93e-06	1	0.0022
Cell_differentiation	7.32e-05	1	6.71e-06	5.42e-07	1	0.0036
Cell_differentiation_in_spinal_cord	1	1	1	6.05e-05	1	1
Cell_fate_commitment	1	1	1.57e-05	1.66e-09	1	1
Cell_fate_determination	1	1	1	0.0084	1	1
Cell_fate_specification	1	1	1	3.84e-06	1	1
Cell_junction_organization	0.00024	1	1	1	1	1
Cellular_component_morphogenesis	1	1	1	1	1	0.0038
