GENE,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8
SCRG1,0.0,5.715070581585105e-75,6.402834862455639e-199,0.0,1.0,0.0,0.0,0.0
RBFOX3,0.00019428800668197833,2.8380496849436927e-11,0.0,0.0,4.909089039674766e-15,2.981454777346073e-08,2.6188202384430957e-07,0.9998054202683613
GSX1,0.0,1.1888973662124667e-58,6.171415911326716e-99,0.0,1.0,0.0,0.0,0.0
ZIC5,0.0,2.4066555681612157e-49,7.515267382e-314,0.0,1.0,0.0,0.0,0.0
CRTAC1,0.0,2.051085616662723e-09,0.0,0.0,0.9999999979489154,5.979468343544698e-169,0.0,0.0
FOXD2,0.0,1.6236487045946103e-61,5.04729057543118e-163,0.0,1.0,0.0,0.0,0.0
CDH22,0.0,9.059016938592938e-61,0.0,0.0,1.0,0.0,0.0,0.0
SLC6A17,0.0,2.803587627012513e-18,5.354214410273012e-291,0.0,1.0,1.022224294248503e-196,0.0,0.0
RSPO1,0.0,1.1351387684775862e-28,2.8104147123979153e-218,0.0,1.0,1.643830965712489e-266,0.0,0.0
HAND2,0.0,5.744209506269465e-74,1.1263752670810178e-187,0.0,1.0,0.0,0.0,0.0
DLX3,0.0,5.313047614547241e-57,0.0,0.0,1.0,0.0,0.0,0.0
CELF4,0.0,4.5826408267307263e-29,6.969678175070162e-293,0.0,1.0,4.236409519720116e-298,0.0,0.0
CRMP1,0.0,2.4879297680405437e-09,0.0,0.0,0.9999999975120701,1.962031880140968e-139,0.0,0.0
RNF220,0.0,8.470535430516296e-18,0.0,0.0,1.0,5.033775836974839e-212,0.0,0.0
ARX,0.0,3.1224948453628877e-21,6.357464708681939e-288,0.0,1.0,7.548296359063612e-241,0.0,0.0
NKX2-2,0.0,1.472906614132609e-23,1.5789958400960309e-183,0.0,1.0,0.0,0.0,0.0
PTPRN2,0.0,0.9862705162455441,0.0,0.0,0.013729483754456187,5.112255534566278e-22,1.6000943162008662e-77,0.0
GALNT9,0.0,4.959866484609374e-15,0.0,0.0,0.9999999999999964,3.3849377402934635e-165,0.0,0.0
TMEM132E,0.0,3.2689700358430254e-79,3.851216911659009e-182,0.0,1.0,0.0,0.0,0.0
UNC5A,0.0,1.1954972834573109e-16,0.0,0.0,1.0,7.82650061955367e-218,0.0,0.0
SRCIN1,0.0,1.351063866412145e-27,0.0,0.0,1.0,2.3211759404155652e-279,0.0,0.0
SSTR5,0.0,2.3692107783805236e-105,0.0,0.0,1.0,0.0,0.0,0.0
CACNG2,0.0,2.3317116068917726e-23,0.0,0.0,1.0,2.5980578006093996e-285,0.0,0.0
DMRT3,0.0,2.509196457559687e-32,7.380323933304253e-209,0.0,1.0,0.0,0.0,0.0
LMX1B,0.0,1.229188499080576e-117,2.1915470518060917e-185,0.0,1.0,0.0,0.0,0.0
XKR6,0.0,3.5074180458143617e-29,2.3968123707595848e-301,0.0,1.0,8.89676844324035e-235,0.0,0.0
ASIC4,0.0,2.14634359842797e-06,0.0,0.0,0.9999978536564006,1.013434192735796e-87,0.0,0.0
PPP2R2C,0.0,0.0002529596754402328,0.0,0.0,0.9997470403245589,2.422047191167595e-89,0.0,0.0
FEZF2,0.0,1.789341589854236e-16,1.7446640230072233e-212,0.0,1.0,4.546231050353756e-230,0.0,0.0
VAX2,0.0,4.72178316042533e-37,2.3554203749805447e-172,0.0,1.0,0.0,0.0,0.0
HPCAL4,0.0,2.3601603744533936e-65,2.851681171832723e-247,0.0,1.0,4.9005802927097485e-280,0.0,0.0
HOXC10,0.0,0.0,1.0105557339889142e-306,1.0,2.5296401969638215e-221,0.0,0.0,0.0
HOXB5,0.0,0.0,1.0,0.0,2.54227737202215e-149,0.0,0.0,0.0
RFX4,0.0,4.968197180853701e-07,1.3566137706141723e-304,0.0,0.9999995031802831,4.2847200620595964e-86,9.867979427705264e-230,0.0
GNAS,0.9980275223366548,4.4707521244778505e-09,0.0,0.0,4.280329558000392e-13,1.7161932017743744e-05,4.744053049456836e-05,0.00190787072965277
TFAP2A,0.0,3.260913309968491e-34,1.921361413204411e-170,0.0,1.0,3.383480361024045e-264,0.0,0.0
SNCB,0.0,8.181911201975185e-10,0.0,0.0,0.99999999918181,3.957465428555057e-126,0.0,0.0
CPLX1,0.0,2.4066666097571414e-05,0.0,0.0,0.9999759333339039,1.342974716193955e-96,0.0,0.0
DMTN,0.0,1.4495930385552947e-16,0.0,0.0,1.0,1.5564171990463435e-106,0.0,0.0
ELFN2,0.0,6.083086446260292e-35,0.0,0.0,1.0,0.0,0.0,0.0
FOXL1,0.0,9.982652664062537e-20,6.889223089039979e-283,0.0,1.0,1.4067028142615615e-175,0.0,0.0
PAX7,0.0,5.478068313576655e-100,9.582711625910659e-120,0.0,1.0,0.0,0.0,0.0
MAFB,0.0,1.6877314907770456e-07,0.0,0.0,0.9999998312268517,6.47656470901103e-91,0.0,0.0
OLFM1,0.0,1.2484777853260168e-13,0.0,0.0,0.9999999999998757,2.534051069023889e-145,0.0,0.0
LMX1A,0.0,1.2354352054388942e-13,1.8074533653060066e-264,0.0,0.9999999999998757,4.738173506306307e-181,0.0,0.0
NRN1,0.0,5.2900426322410526e-24,1.0100284207735298e-256,0.0,1.0,2.572096433095861e-274,0.0,0.0
HMX1,0.0,2.1323039189681542e-82,4.6833085672001365e-174,0.0,1.0,0.0,0.0,0.0
SYT5,0.0,1.9523988452448407e-05,0.0,0.0,0.9999804760115469,5.7784725654873305e-81,0.0,0.0
BMP7,0.0,1.5737045563856505e-09,0.0,0.0,0.999999998426297,1.3656648132904579e-139,0.0,0.0
EBF3,0.0,2.734022187252693e-27,6.734917688234062e-274,0.0,1.0,7.909640936065782e-261,0.0,0.0
FOXB1,0.0,9.923606615904192e-19,6.458920370874309e-264,0.0,1.0,1.3232193679178577e-247,0.0,0.0
DDN,0.0,8.338262599060564e-09,0.0,0.0,0.9999999916617384,8.068647667965629e-108,0.0,0.0
PHACTR3,0.0,0.009338508686293087,0.0,0.0,0.9906614913137078,9.521274172682105e-48,3.540701788428493e-105,0.0
FBXL16,0.0,0.0012339111048135546,0.0,0.0,0.9987660888951879,8.138050872226588e-81,0.0,0.0
EPHA10,0.0,1.7045762049819973e-06,2.757427074087349e-264,0.0,0.9999982954237934,7.96011882707774e-118,0.0,0.0
ZDHHC22,0.0,0.0027067818013053126,0.0,0.0,0.9972932181986947,1.9591683165125864e-66,9.50388724195e-313,0.0
GATA4,0.0,4.3389947073204854e-192,2.199630227308168e-225,0.0,1.0,0.0,0.0,0.0
