	cluster3	cluster4	cluster5	cluster7
Adenohypophysis_development	1	1	0.005	1
Adrenal_gland_development	1	1	0.00061	1
Adult_behavior	1	1	9.69e-05	1
Adult_locomotory_behavior	1	1	0.0074	1
Ameboidal-type_cell_migration	1	1	0.0052	1
Anatomical_structure_development	1	1	4.16e-69	1
Anatomical_structure_formation_involved_in_morphogenesis	1	1	5.55e-24	1
Anatomical_structure_maturation	1	1	7.24e-05	1
Anatomical_structure_morphogenesis	1	2.49e-08	1e-55	1
Angiogenesis	1	1	0.0082	1
Animal_organ_development	1.28e-12	0.0004	9.75e-62	1
Animal_organ_morphogenesis	1.13e-19	4.5e-08	5.52e-48	1
Anterior/posterior_axis_specification	1	1	2.31e-05	1
Anterior/posterior_pattern_specification	8.28e-28	8.9e-19	6.98e-19	1
Aortic_valve_morphogenesis	1	1	2.17e-05	1
Artery_development	1	1	0.00012	1
Artery_morphogenesis	1	1	0.00026	1
Astrocyte_differentiation	1	1	0.0013	1
Atrial_cardiac_muscle_tissue_development	1	1	3.24e-05	1
Autonomic_nervous_system_development	1	1	7.31e-10	1
Axis_elongation	1	1	0.0057	1
Axis_specification	1	1	4.17e-10	1
Axon_development	1	1	5.35e-19	1
Axon_extension	1	1	0.0078	1
Axon_guidance	1	1	8.43e-19	1
Axonogenesis	1	1	9.24e-20	1
Behavior	1	1	1.04e-12	1
Biological_regulation	1	1	5.99e-21	1
Biomineralization	1	1	0.0089	1
Blood_circulation	1	1	1.78e-05	1
Blood_vessel_development	1	1	8.66e-08	1
Blood_vessel_morphogenesis	0.0077	1	4.65e-05	1
Body_morphogenesis	1	1	0.0039	1
Bone_development	1	1	8.55e-05	1
Bone_morphogenesis	1	1	8.95e-06	1
Brain_development	1	1	1.06e-32	1
Branching_involved_in_ureteric_bud_morphogenesis	1	1	8.95e-09	1
Branching_morphogenesis_of_an_epithelial_tube	1	1	5.39e-10	1
Calcium_ion_import_across_plasma_membrane	1	1	0.0069	1
Camera-type_eye_development	1	1	2.63e-15	1
Camera-type_eye_morphogenesis	1	1	3.95e-08	1
Canonical_Wnt_signaling_pathway	1	1	8.64e-05	1
Cardiac_atrium_development	1	1	0.0043	1
Cardiac_atrium_morphogenesis	1	1	0.0039	1
Cardiac_cell_fate_commitment	1	1	0.00039	1
Cardiac_chamber_development	1	1	7.41e-10	1
Cardiac_chamber_formation	1	1	0.0082	1
Cardiac_chamber_morphogenesis	1	1	8.66e-11	1
Cardiac_conduction_system_development	1	1	8.82e-07	1
Cardiac_muscle_cell_differentiation	1	1	0.0025	1
Cardiac_muscle_cell_fate_commitment	1	1	0.0014	1
Cardiac_muscle_contraction	1	1	0.00098	1
Cardiac_muscle_tissue_development	1	1	1.16e-08	1
Cardiac_muscle_tissue_morphogenesis	1	1	8.54e-05	1
Cardiac_pacemaker_cell_development	1	1	0.0022	1
Cardiac_right_ventricle_morphogenesis	1	1	0.0018	1
Cardiac_septum_development	1	1	2.23e-06	1
Cardiac_septum_morphogenesis	1	1	3.06e-06	1
Cardiac_ventricle_development	1	1	8.32e-09	1
Cardiac_ventricle_morphogenesis	1	1	4.39e-08	1
Cardiocyte_differentiation	1	1	4.87e-05	1
Cartilage_development	0.0038	1	7.35e-08	1
Cation_transmembrane_transport	1	1	9.78e-09	1
Cation_transport	1	1	8.66e-08	1
Cell-cell_adhesion	1	1	0.0028	1
Cell-cell_signaling	1	1	3.04e-22	1
Cell_adhesion	1	1	0.00034	1
Cell_communication	1	1	2.34e-13	1
Cell_development	1	1	3.61e-35	1
Cell_differentiation	1	1	3.96e-61	1
Cell_differentiation_in_spinal_cord	1	1	2.16e-13	1
Cell_differentiation_involved_in_kidney_development	1	1	3.55e-05	1
Cell_differentiation_involved_in_metanephros_development	1	1	0.00026	1
Cell_fate_commitment	1	1	5.79e-44	1
Cell_fate_commitment_involved_in_formation_of_primary_germ_layer	1	1	0.00022	1
Cell_fate_determination	1	1	9.26e-13	1
Cell_fate_specification	1	1	1.57e-24	1
Cell_junction_organization	1	1	5.03e-05	1
Cell_maturation	1	1	0.0012	1
Cell_migration	1	1	5.62e-11	1
Cell_morphogenesis	1	1	9.52e-18	1
Cell_morphogenesis_involved_in_differentiation	1	1	5.54e-17	1
Cell_morphogenesis_involved_in_neuron_differentiation	1	1	1.69e-18	1
Cell_motility	1	1	1.84e-09	1
Cell_population_proliferation	1	1	3.64e-15	1
Cell_projection_morphogenesis	1	1	1.04e-21	1
Cell_projection_organization	1	1	4.44e-13	1
Cell_proliferation_in_forebrain	1	1	0.00022	1
Cell_proliferation_involved_in_kidney_development	1	1	0.0045	1
